gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Pseudodiploria164308,Macrophage migration inhibitory factor (MIF),0.9525551200301007,Defense mechanisms,47,355,0.341544523659585,0.6334897732393839
Pseudodiploria164412,metalloendopeptidase activity,0.3581152225592892,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria164590,Calcium ion binding. It is involved in the biological process described with protein folding,0.6868392552620928,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria164681,MAP kinase activity,0.4585302935332985,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria164735,purine-rich negative regulatory element binding,-2.673699176327639,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria164777,serine-type endopeptidase activity,-0.4423068782827662,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria164795,DnaJ molecular chaperone homology domain,0.29827281761176794,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria164798,cell redox homeostasis,-0.15794039023193066,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria164810,transmembrane receptor protein tyrosine kinase activity,-0.35180967801455576,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria164812,Polo kinase kinase,-0.030868954751824277,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria164857,L-aspartate import across plasma membrane,-0.01688560706212161,Amino acid transport and metabolism,288,243,0.112566335662496,0.28141583915624
Pseudodiploria164895,acetylcholine-gated cation-selective channel activity,0.3764464490263106,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria164946,post-chaperonin tubulin folding pathway,-0.29609011499600574,Cytoskeleton,274,-3,0.983848729865616,0.983848729865616
Pseudodiploria164969,"Cytochrome P450, family 21, subfamily A, polypeptide 2",-0.4166409477275817,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria165047,signaling receptor binding,1.1941905915357276,Cell wall/membrane/envelope biogenesis,81,78,0.78421549487992,0.8524081466086086
Pseudodiploria165280,4-coumarate--CoA ligase 1-like,-0.5756245581348618,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria165438,negative regulation of cell growth,0.9582949257378133,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria165458,Protein serine threonine phosphatase activity. It is involved in the biological process described with protein dephosphorylation,0.2983557497245743,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria165522,regulation of mitotic cell cycle,0.7244618404573668,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria165563,"Ubiquitin-conjugating enzyme E2, catalytic domain homologues",0.33039025306380987,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
