"","Pcli-003","Pcli-004","Pcli-006","Pcli-008","Pcli-011","Pcli-015","Pcli-018","Pcli-024","Pcli-026","Pcli-028","Pcli-029","Pcli-033","Pcli-038","Pcli-039","Pcli-040","Pcli-045","Pcli-049","Pcli-050","Pcli-052","Pcli-055","Pcli-058","Pcli-064","Pcli-066","Pcli-067","Pcli-069","Pcli-070","Pcli-075","Pcli-076","Pcli-077","Pcli-079","Pcli-091","Pcli-094","Pcli-096","Pcli-101","Pcli-103","Pcli-105","Pcli-109","Pcli-111","Pcli-114","Pcli-115","Pcli-120","Pcli-124","Pcli-126","Pcli-128","Pcli-130","Pcli-132","Pcli-135","Pcli-148"
"Pseudodiploria164233",5,1,2,3,0,3,1,4,7,18,4,19,8,2,4,0,0,10,11,0,0,0,1,2,1,6,24,3,6,1,5,8,1,0,7,2,2,10,0,4,6,0,14,36,17,0,1,1
"Pseudodiploria164308",3,6,7,11,0,2,1,4,13,13,3,21,12,1,4,5,3,9,12,2,0,0,2,1,1,9,23,12,2,6,8,9,2,19,4,12,10,6,0,6,26,1,26,32,5,1,2,2
"Pseudodiploria164312",4,1,6,0,0,0,0,9,9,3,4,14,9,1,0,2,2,2,10,2,0,0,0,1,0,9,9,0,2,1,5,4,4,2,4,18,17,2,0,2,6,0,24,23,10,0,7,3
"Pseudodiploria164314",43,15,29,42,0,14,17,55,119,101,60,117,40,10,20,12,30,42,69,13,5,9,0,18,16,57,88,17,39,11,16,24,32,19,49,73,82,46,5,35,90,5,150,174,69,1,12,45
"Pseudodiploria164330",21,3,6,14,0,8,4,23,37,35,22,27,21,5,4,1,10,10,23,4,12,3,2,10,2,40,30,3,11,12,14,23,14,4,14,16,41,11,1,9,35,2,41,54,31,1,1,25
"Pseudodiploria164335",29,5,11,19,0,14,10,34,37,42,29,52,33,5,22,8,12,19,65,1,0,8,3,14,12,46,28,12,30,1,10,37,31,6,32,21,61,10,2,27,34,4,59,86,41,0,5,27
"Pseudodiploria164343",87,4,15,5,1,31,33,28,8,167,20,11,98,12,24,14,10,2,55,5,1,6,3,15,5,31,13,7,2,1,37,55,20,3,44,40,44,7,3,60,47,7,11,12,6,0,14,81
"Pseudodiploria164358",16,2,8,6,0,3,5,13,5,12,11,5,3,2,3,3,3,3,16,0,2,0,0,1,0,12,5,2,1,2,2,10,8,2,3,4,13,0,0,6,10,0,9,11,11,0,3,2
"Pseudodiploria164361",0,0,0,8,0,0,2,13,15,11,9,14,4,0,2,0,2,4,7,1,0,1,0,1,4,8,6,2,7,1,3,6,12,4,4,13,8,4,2,14,16,4,21,26,9,0,2,2
"Pseudodiploria164366",7,1,0,3,0,0,4,5,5,10,2,11,3,0,2,0,1,0,8,0,0,0,2,2,0,7,7,2,3,0,4,4,5,1,0,4,9,7,0,1,5,3,17,16,12,0,0,3
