gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.001770053143288,0.12250554185123348,-8.177344779714563,2.9016685572857967e-16,5.124927005878174e-12
Pseudodiploria178481,NA,2.012636412949095,-3.556967246902078,0.8572556958365516,-4.149248892923385,3.3356797363256094e-5,0.0368555006502735
Pseudodiploria179906,zinc ion binding,17.367238928499365,1.1243576573234557,0.2748073254569719,4.09143990413568,4.287030458959477e-5,0.041968448622370244
Pseudodiploria189075,NA,4.371316994594852,-2.9701111736412917,0.6513854894242797,-4.559682740655451,5.123095929761149e-6,0.011354327182534362
Pseudodiploria192509,positive regulation of protein folding,53.645487179473186,-1.092888714044187,0.15612273392658796,-7.000189444274562,2.556166340676481e-12,2.2573504954514002e-8
Pseudodiploria193272,NA,1.56025342305242,-3.2116934703612214,0.774081282880335,-4.149039049763093,3.3387385936155366e-5,0.0368555006502735
Pseudodiploria194656,Eukaryotic peptide chain release factor subunit,14.511032242694029,1.168115516777994,0.25866322544584314,4.51597058207474,6.302741437029978e-6,0.012368779917869275
Pseudodiploria195980,NA,25.207985185723015,-2.2388292350409835,0.554820546410644,-4.0352313005076414,5.454853366010719e-5,0.045877914357372054
Pseudodiploria196007,NA,11.087177082923011,-1.8737941064878256,0.314102626535646,-5.96554739816917,2.4381525715247875e-9,1.0765662679567698e-5
Pseudodiploria197331,NA,29.598022401184316,1.1254074690541873,0.24686101624252832,4.558870761305349,5.1429406330129594e-6,0.011354327182534362
