Species,Genotype,Sample ID,Sample_ID,Date Sampled,Experiment phase,Treatment,RNA Qubit Date,Qubit RNA Sample Input Quantity (uL),RNA Broad Range Qubit Concentration (ng/uL),Nanodrop Date (RNA only),A-260 (RNA),A-280 (RNA),260/280 (RNA),260/230 (RNA),Nanodrop RNA concentration (ng/uL),Sequence File Sample Name,% GC (Raw reads),Average Read Length (Raw reads),Median Read Length (Raw reads),% Failed (Raw reads),Raw Reads (Million),Sample Name,% Duplication (Trimmed reads),% > Q30 (Trimmed reads),Mb Q30 bases (Trimmed reads),M Reads After Filtering (Trimmed reads),GC content (Trimmed reads),% Passed Filter (Trimmed reads),% Adapter (Removed from trimmed reads),Mapping Rate (Post-trimming alignment)
Acer,SI-C,5,Acer-005,3/22/22,Pre-treatment,control,12/1/22,5,35.6,1/4/23,0.978,0.474,2.06,0.59,39.11,Acer-005_S23_L001_R1_001,44%,99 bp,100 bp,36%,11.4,Acer-005_S23_L001_R1_001,46.20%,95.60%,1087.5,11.4,44.90%,96.00%,0.30%,66.15%
Acer,BC-8b,9,Acer-009,3/22/22,Pre-treatment,variable,1/6/23,2,90.1,1/6/23,2.616,1.23,2.13,1.99,104.6,Acer-009_S24_L001_R1_001,44%,99 bp,100 bp,36%,12.8,Acer-009_S24_L001_R1_001,46.20%,95.50%,1227.1,12.8,44.40%,97.10%,0.30%,72.49%
Acer,BC-8b,19,Acer-019,3/22/22,Pre-treatment,variable,1/6/23,2,118,1/6/23,3.189,1.5,2.13,1.22,127.6,Acer-019_S25_L001_R1_001,46%,99 bp,100 bp,36%,13,Acer-019_S25_L001_R1_001,49.90%,95.50%,1244.6,13,44.90%,97.40%,0.20%,71.02%
Acer,MB-B,21,Acer-021,3/22/22,Pre-treatment,variable,,,,1/12/23,1.838,0.864,2.13,1.94,73.52,Acer-021_S26_L001_R1_001,46%,99 bp,100 bp,36%,11.4,Acer-021_S26_L001_R1_001,51.50%,95.50%,1086.7,11.4,46.30%,96.30%,0.30%,63.15%
Acer,BC-8b,22,Acer-022,3/22/22,Pre-treatment,control,1/6/23,2,134,1/6/23,3.784,1.778,2.13,2.04,151.3,Acer-022_S27_L001_R1_001,46%,99 bp,100 bp,36%,13.3,Acer-022_S27_L001_R1_001,49.80%,95.60%,1268.7,13.3,46.00%,96.30%,0.30%,64.10%
Acer,SI-C,29,Acer-029,3/22/22,Pre-treatment,variable,1/6/23,2,140,1/6/23,3.668,1.71,2.15,2.09,146.7,Acer-029_S28_L001_R1_001,45%,99 bp,100 bp,36%,11.4,Acer-029_S28_L001_R1_001,45.50%,95.60%,1088.6,11.4,46.00%,97.20%,0.30%,64.01%
Acer,BC-8b,30,Acer-030,4/20/22,last day of treatment,variable,12/1/22,5,128,1/4/23,3.046,1.439,12.12,2,121.9,Acer-030_S29_L001_R1_001,45%,99 bp,100 bp,36%,12.4,Acer-030_S29_L001_R1_001,48.70%,95.60%,1182,12.4,45.00%,95.90%,0.30%,72.68%
Acer,SI-C,34,Acer-034,3/22/22,Pre-treatment,control,12/1/22,5,137,1/4/23,3.174,1.487,2.13,2,127,Acer-034_S30_L001_R1_001,42%,99 bp,100 bp,36%,14.4,Acer-034_S30_L001_R1_001,48.70%,95.50%,1376.4,14.4,46.00%,95.90%,0.40%,65.99%
Acer,MB-B,38,Acer-038,4/20/22,last day of treatment,variable,,,,1/12/23,1.022,0.495,2.07,1.73,40.9,Acer-038_S31_L001_R1_001,44%,98 bp,100 bp,36%,10.7,Acer-038_S31_L001_R1_001,54.10%,95.50%,1012.9,10.7,43.00%,92.70%,0.40%,75.24%
Acer,MB-B,41,Acer-041,4/20/22,last day of treatment,variable,12/1/22,5,91.2,1/4/23,2.823,1.425,1.98,1.61,112.9,Acer-041_S32_L001_R1_001,45%,98 bp,100 bp,36%,12.7,Acer-041_S32_L001_R1_001,52.60%,95.40%,1193.9,12.7,44.30%,91.00%,0.70%,72.29%
Acer,MB-B,42,Acer-042,3/22/22,Pre-treatment,control,1/6/23,2,102,1/6/23,2.586,1.218,2.12,1.87,103.4,Acer-042_S33_L001_R1_001,45%,99 bp,100 bp,36%,13.6,Acer-042_S33_L001_R1_001,43.10%,95.50%,1298.8,13.6,45.70%,96.90%,0.40%,66.67%
Acer,BC-8b,43,Acer-043,3/22/22,Pre-treatment,control,1/6/23,2,129,1/6/23,3.113,1.444,2.16,1.82,124.5,Acer-043_S34_L001_R1_001,46%,99 bp,100 bp,36%,12.8,Acer-043_S34_L001_R1_001,51.00%,95.60%,1225.5,12.8,45.20%,97.10%,0.30%,70.14%
Acer,BC-8b,45,Acer-045,3/22/22,Pre-treatment,variable,,,,1/12/23,1.658,0.801,2.07,1.89,66.33,Acer-045_S35_L001_R1_001,45%,99 bp,100 bp,36%,13.9,Acer-045_S35_L001_R1_001,60.40%,95.70%,1334.1,13.9,46.70%,96.60%,0.30%,56.77%
Acer,MB-B,55,Acer-055,3/22/22,Pre-treatment,variable,1/6/23,2,89.6,1/6/23,2.1,0.9801,2.14,1.97,84.01,Acer-055_S36_L001_R1_001,43%,99 bp,100 bp,36%,11.5,Acer-055_S36_L001_R1_001,49.50%,95.60%,1102.5,11.5,45.30%,97.50%,0.20%,70.14%
Acer,MB-B,56,Acer-056,4/20/22,last day of treatment,control,,,,1/12/23,0.85,0.411,2.07,1.72,34.02,Acer-056_S37_L001_R1_001,42%,97 bp,100 bp,36%,15.2,Acer-056_S37_L001_R1_001,53.40%,95.50%,1426.6,15.2,43.40%,90.70%,0.60%,73.53%
Acer,MB-B,57,Acer-057,4/20/22,last day of treatment,control,,,,1/12/23,0.9,0.44,2.05,1.77,36.01,Acer-057_S38_L001_R1_001,43%,97 bp,100 bp,45%,11.7,Acer-057_S38_L001_R1_001,50.40%,95.40%,1095.4,11.7,42.90%,89.00%,0.90%,71.77%
Acer,MB-B,59,Acer-059,4/20/22,last day of treatment,variable,,,,1/12/23,1.118,0.537,2.08,1.7,44.73,Acer-059_S39_L001_R1_001,45%,97 bp,100 bp,36%,11.5,Acer-059_S39_L001_R1_001,52.10%,95.50%,1073.1,11.5,43.00%,85.90%,1.00%,72.81%
Acer,BC-8b,63,Acer-063,3/22/22,Pre-treatment,control,1/6/23,2,160,1/6/23,3.563,1.664,2.14,2.08,142.5,Acer-063_S40_L001_R1_001,45%,99 bp,100 bp,36%,13.4,Acer-063_S40_L001_R1_001,51.50%,95.50%,1277.4,13.4,45.80%,95.90%,0.40%,64.17%
Acer,SI-C,64,Acer-064,3/22/22,Pre-treatment,variable,1/6/23,2,52.2,1/6/23,1.392,0.657,2.12,1.84,55.67,Acer-064_S41_L001_R1_001,46%,99 bp,100 bp,36%,13.2,Acer-064_S41_L001_R1_001,45.00%,95.50%,1255.9,13.2,45.70%,96.20%,0.40%,65.42%
Acer,BC-8b,68,Acer-068,4/20/22,last day of treatment,variable,,,,1/12/23,0.949,0.456,2.08,1.73,37.97,Acer-068_S42_L001_R1_001,44%,97 bp,100 bp,36%,7.4,Acer-068_S42_L001_R1_001,62.00%,95.60%,688.6,7.4,46.30%,82.80%,0.60%,60.11%
Acer,SI-C,69,Acer-069,4/20/22,last day of treatment,variable,,,,1/12/23,0.825,0.393,2.1,1.66,33.01,Acer-069_S43_L001_R1_001,46%,97 bp,100 bp,45%,10.9,Acer-069_S43_L001_R1_001,54.30%,95.50%,1019.9,10.9,44.80%,89.00%,0.60%,59.77%
Acer,BC-8b,72,Acer-072,4/20/22,last day of treatment,control,,,,1/12/23,1.15,0.556,2.07,1.78,46,Acer-072_S44_L001_R1_001,44%,95 bp,100 bp,36%,4.1,Acer-072_S44_L001_R1_001,61.80%,95.50%,375.2,4.1,46.00%,65.30%,1.20%,54.05%
Acer,MB-B,74,Acer-074,4/20/22,last day of treatment,variable,,,,1/12/23,1.081,0.524,2.06,1.83,43.23,Acer-074_S45_L001_R1_001,47%,97 bp,100 bp,36%,8.7,Acer-074_S45_L001_R1_001,55.70%,95.50%,818.4,8.7,44.60%,87.10%,0.70%,69.03%
Acer,SI-C,78,Acer-078,3/22/22,Pre-treatment,control,12/1/22,5,154,1/4/23,4.411,2.069,2.13,2.12,176.4,Acer-078_S46_L001_R1_001,46%,99 bp,100 bp,36%,12.4,Acer-078_S46_L001_R1_001,49.70%,95.60%,1183.6,12.4,47.20%,95.60%,0.40%,57.26%
Acer,SI-C,79,Acer-079,3/22/22,Pre-treatment,variable,,,,1/12/23,1.404,0.675,2.08,1.79,56.15,Acer-079_S47_L001_R1_001,43%,98 bp,100 bp,36%,8.5,Acer-079_S47_L001_R1_001,52.40%,95.60%,810.5,8.5,46.80%,94.70%,0.30%,55.52%
Acer,SI-C,82,Acer-082,4/20/22,last day of treatment,control,,,,1/12/23,0.589,0.295,1.99,1.57,23.58,Acer-082_S48_L001_R1_001,45%,98 bp,100 bp,36%,8,Acer-082_S48_L001_R1_001,55.20%,95.50%,753.8,8,43.90%,89.50%,0.40%,69.40%
Acer,MB-B,83,Acer-083,3/22/22,Pre-treatment,variable,1/6/23,2,117,1/6/23,2.921,1.376,2.12,1.96,116.8,Acer-083_S49_L001_R1_001,48%,99 bp,100 bp,36%,10.5,Acer-083_S49_L001_R1_001,49.20%,95.60%,1010.7,10.5,45.40%,97.80%,0.20%,70.76%
Acer,BC-8b,89,Acer-089,4/20/22,last day of treatment,control,12/1/22,5,87.2,1/4/23,1.859,0.902,2.06,1.96,74.37,Acer-089_S50_L001_R1_001,45%,96 bp,100 bp,36%,5.5,Acer-089_S50_L001_R1_001,59.60%,95.70%,504.8,5.5,48.90%,82.20%,0.60%,45.76%
Acer,BC-8b,91,Acer-091,4/20/22,last day of treatment,variable,,,,1/12/23,1.025,0.495,2.07,1.83,40.99,Acer-091_S51_L001_R1_001,46%,98 bp,100 bp,36%,9,Acer-091_S51_L001_R1_001,59.70%,95.60%,849.5,9,45.80%,92.60%,0.40%,61.51%
Acer,MB-B,94,Acer-094,3/22/22,Pre-treatment,variable,1/6/23,2,136,1/6/23,3.524,1.646,2.14,2.01,140.9,Acer-094_S52_L001_R1_001,46%,99 bp,100 bp,36%,12.2,Acer-094_S52_L001_R1_001,48.00%,95.60%,1169.8,12.2,46.40%,97.80%,0.20%,63.25%
Acer,SI-C,95,Acer-095,3/22/22,Pre-treatment,control,1/6/23,2,98.6,1/6/23,2.187,1.026,2.13,1.85,87.47,Acer-095_S53_L001_R1_001,44%,99 bp,100 bp,36%,11.2,Acer-095_S53_L001_R1_001,42.90%,95.50%,1067.3,11.2,46.10%,96.80%,0.30%,63.56%
Acer,SI-C,96,Acer-096,4/20/22,last day of treatment,variable,12/1/22,5,23.9,1/4/23,0.4339,0.2158,2.01,1.81,17.36,Acer-096_S54_L001_R1_001,43%,98 bp,100 bp,36%,10.9,Acer-096_S54_L001_R1_001,34.80%,95.40%,1029.3,10.9,44.70%,91.80%,1.10%,70.35%
Acer,MB-B,97,Acer-097,4/20/22,last day of treatment,control,,,,1/12/23,1.078,0.51,2.12,1.77,43.13,Acer-097_S55_L001_R1_001,45%,98 bp,100 bp,36%,8.8,Acer-097_S55_L001_R1_001,52.30%,95.40%,832.9,8.8,43.10%,92.50%,0.40%,76.29%
