Module	Section	Sample Name	Source
FastQC	all_sections	Acer-005_S23_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-005_S23_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-009_S24_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-009_S24_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-019_S25_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-019_S25_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-021_S26_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-021_S26_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-022_S27_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-022_S27_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-029_S28_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-029_S28_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-030_S29_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-030_S29_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-034_S30_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-034_S30_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-038_S31_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-038_S31_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-041_S32_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-041_S32_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-042_S33_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-042_S33_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-043_S34_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-043_S34_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-045_S35_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-045_S35_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-055_S36_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-055_S36_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-056_S37_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-056_S37_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-057_S38_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-057_S38_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-059_S39_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-059_S39_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-063_S40_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-063_S40_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-064_S41_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-064_S41_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-068_S42_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-068_S42_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-069_S43_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-069_S43_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-072_S44_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-072_S44_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-074_S45_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-074_S45_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-078_S46_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-078_S46_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-079_S47_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-079_S47_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-082_S48_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-082_S48_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-083_S49_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-083_S49_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-089_S50_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-089_S50_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-091_S51_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-091_S51_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-094_S52_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-094_S52_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-095_S53_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-095_S53_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-096_S54_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-096_S54_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-097_S55_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-097_S55_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-102_S56_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-102_S56_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-106_S57_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-106_S57_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-108_S58_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-108_S58_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-110_S59_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-110_S59_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	ACER-112_S69_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/ACER-112_S69_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-113_S60_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-113_S60_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-114_S61_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-114_S61_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-123_S62_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-123_S62_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	ACER-124_S70_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/ACER-124_S70_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-137_S63_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-137_S63_L001_R1_001_fastqc/fastqc_data.txt
FastQC	all_sections	Acer-139_S64_L001_R1_001	/scratch/projects/and_transcriptomics/Allyson_stresshardening_RNAseq/Acer-139_S64_L001_R1_001_fastqc/fastqc_data.txt
