Sample ID,Count Raw Reads,Good Reads,Duplicate Reads,No Header Reads,N in Header Reads,Trimmed Reads Acer,Trimmed Reads Pcli,Percent loss,Percent remaining Acer,Percent remaining Pcli,Acer Aligned Reads (Locatelli + Shoguchi),Acer percent alignment,Pcli Aligned Reads (Avila-Magana ),Pcli percent alignment
Acer-005,11893867,4537382,6915415,440422,648,4247857,,64.3%,35.7%,,2662471,62.7%,,
Acer-009,13209851,5054485,7682393,472188,785,4845731,,63.3%,36.7%,,2985472,61.6%,,
Acer-019,13340389,4538599,8313112,487935,743,4367644,,67.3%,32.7%,,2730858,62.5%,,
Acer-021,11816133,3859991,7537000,418501,641,3629351,,69.3%,30.7%,,2279884,62.8%,,
Acer-022,13786013,4779994,8512407,492844,768,4500345,,67.4%,32.6%,,2904762,64.5%,,
Acer-029,11690763,4583919,6676587,429606,651,4408738,,62.3%,37.7%,,2881861,65.4%,,
Acer-030,12892034,4613289,7836790,441301,654,4337416,,66.4%,33.6%,,2667758,61.5%,,
Acer-034,15041032,5350066,9150839,539333,794,5025037,,66.6%,33.4%,,3293109,65.5%,,
Acer-038,11570068,3410961,7748533,409963,611,2987276,,74.2%,25.8%,,1618015,54.2%,,
Acer-041,13899610,4290747,9127776,480336,751,3727077,,73.2%,26.8%,,2165343,58.1%,,
Acer-042,14013158,5877458,7636269,498636,795,5640952,,59.7%,40.3%,,3594560,63.7%,,
Acer-043,13173395,4393252,8315845,463600,698,4198117,,68.1%,31.9%,,2608345,62.1%,,
Acer-045,14424718,3418670,10484051,521211,786,3183800,,77.9%,22.1%,,2045023,64.2%,,
Acer-055,11795849,4132095,7247189,415942,623,3981280,,66.2%,33.8%,,2488211,62.5%,,
Acer-056,16734417,5103864,11059966,569696,891,4395690,,73.7%,26.3%,,2394894,54.5%,,
Acer-057,13126670,4325520,8337480,462982,688,3745497,,71.5%,28.5%,,2008664,53.6%,,
Acer-059,13417235,4174095,8763614,478773,753,3395173,,74.7%,25.3%,,1846632,54.4%,,
Acer-063,13968542,4518478,8942575,506744,745,4216482,,69.8%,30.2%,,2716864,64.4%,,
Acer-064,13687891,5433153,7762937,491091,710,5140680,,62.4%,37.6%,,3311019,64.4%,,
Acer-068,8880017,1921176,6647552,310792,497,1458102,,83.6%,16.4%,,832707,57.1%,,
Acer-069,12205253,3594545,8167000,443074,634,3034018,,75.1%,24.9%,,1797165,59.2%,,
Acer-072,6299928,1329595,4736577,233415,341,852712,,86.5%,13.5%,,491217,57.6%,,
Acer-074,10027271,2803853,6875352,347516,550,2267916,,77.4%,22.6%,,1292748,57.0%,,
