"File_Name"	"Mapping_Rate_Line"
"Pcli-003"	"   Mapping rate = 65.0386%"
"Pcli-004"	"   Mapping rate = 66.6229%"
"Pcli-006"	"   Mapping rate = 63.6947%"
"Pcli-008"	"   Mapping rate = 72.3075%"
"Pcli-011"	"   Mapping rate = 65.571%"
"Pcli-015"	"   Mapping rate = 64.8049%"
"Pcli-018"	"   Mapping rate = 67.1063%"
"Pcli-024"	"   Mapping rate = 64.8244%"
"Pcli-026"	"   Mapping rate = 66.1711%"
"Pcli-028"	"   Mapping rate = 64.109%"
"Pcli-029"	"   Mapping rate = 60.6172%"
"Pcli-033"	"   Mapping rate = 68.3588%"
"Pcli-038"	"   Mapping rate = 64.7765%"
"Pcli-039"	"   Mapping rate = 65.0226%"
"Pcli-040"	"   Mapping rate = 63.0421%"
"Pcli-045"	"   Mapping rate = 62.3027%"
"Pcli-049"	"   Mapping rate = 64.0897%"
"Pcli-050"	"   Mapping rate = 68.0055%"
"Pcli-052"	"   Mapping rate = 62.2482%"
"Pcli-055"	"   Mapping rate = 59.8958%"
"Pcli-058"	"   Mapping rate = 70.3522%"
"Pcli-064"	"   Mapping rate = 65.2572%"
"Pcli-066"	"   Mapping rate = 64.0504%"
"Pcli-067"	"   Mapping rate = 61.7136%"
"Pcli-069"	"   Mapping rate = 69.6885%"
"Pcli-070"	"   Mapping rate = 59.4806%"
"Pcli-075"	"   Mapping rate = 65.2663%"
"Pcli-076"	"   Mapping rate = 69.1838%"
"Pcli-077"	"   Mapping rate = 65.7256%"
"Pcli-079"	"   Mapping rate = 65.9924%"
"Pcli-091"	"   Mapping rate = 62.4716%"
"Pcli-094"	"   Mapping rate = 63.6187%"
"Pcli-096"	"   Mapping rate = 62.5424%"
"Pcli-101"	"   Mapping rate = 66.3708%"
"Pcli-103"	"   Mapping rate = 61.3541%"
"Pcli-105"	"   Mapping rate = 61.4325%"
"Pcli-109"	"   Mapping rate = 62.8091%"
"Pcli-111"	"   Mapping rate = 68.4749%"
"Pcli-114"	"   Mapping rate = 62.2157%"
"Pcli-115"	"   Mapping rate = 64.0747%"
"Pcli-120"	"   Mapping rate = 60.206%"
"Pcli-124"	"   Mapping rate = 62.7096%"
"Pcli-126"	"   Mapping rate = 63.7908%"
"Pcli-128"	"   Mapping rate = 65.7991%"
"Pcli-130"	"   Mapping rate = 69.7661%"
"Pcli-132"	"   Mapping rate = 68.4479%"
"Pcli-135"	"   Mapping rate = 65.9855%"
"Pcli-148"	"   Mapping rate = 63.6869%"
