ID,Species,Colony,Treatment,percent_change
60,Acropora cervicornis,BC-8b,Treated,21.314741035856574
61,Acropora cervicornis,SI-C,Treated,17.391304347826086
91,Acropora cervicornis,BC-8b,Treated,10.361445783132531
113,Acropora cervicornis,SI-C,Treated,28.543307086614174
145,Acropora cervicornis,BC-8b,Treated,-6.728971962616822
4,Acropora cervicornis,MB-B,Treated,39.577836411609496
38,Acropora cervicornis,MB-B,Treated,44.33249370277078
45,Acropora cervicornis,BC-8b,Treated,5.018587360594796
130,Acropora cervicornis,BC-8b,Treated,0
131,Acropora cervicornis,SI-C,Treated,-14.25339366515837
21,Acropora cervicornis,MB-B,Treated,44.91725768321513
32,Acropora cervicornis,BC-8b,Treated,25.267665952890795
54,Acropora cervicornis,MB-B,Treated,58.46153846153847
58,Acropora cervicornis,BC-8b,Treated,48.825065274151434
62,Acropora cervicornis,SI-C,Treated,9.544468546637743
13,Acropora cervicornis,MB-B,Treated,28.640776699029125
77,Acropora cervicornis,BC-8b,Treated,26.616915422885572
79,Acropora cervicornis,SI-C,Treated,43.626062322946176
94,Acropora cervicornis,MB-B,Treated,67.28232189973615
103,Acropora cervicornis,MB-B,Treated,66.66666666666666
8,Acropora cervicornis,SI-C,Treated,52.242744063324544
69,Acropora cervicornis,SI-C,Treated,34.97652582159624
76,Acropora cervicornis,BC-8b,Treated,16.043956043956044
110,Acropora cervicornis,BC-8b,Treated,32.400932400932405
125,Acropora cervicornis,BC-8b,Treated,42.57425742574257
29,Acropora cervicornis,SI-C,Treated,57.65765765765766
65,Acropora cervicornis,MB-B,Treated,89.8360655737705
68,Acropora cervicornis,BC-8b,Treated,45.67567567567568
74,Acropora cervicornis,MB-B,Treated,67.04545454545455
117,Acropora cervicornis,SI-C,Treated,182.25806451612902
5,Acropora cervicornis,SI-C,Untreated,161.30653266331657
12,Acropora cervicornis,SI-C,Untreated,178.7709497206704
52,Acropora cervicornis,BC-8b,Untreated,114.93775933609957
100,Acropora cervicornis,MB-B,Untreated,227.05314009661834
124,Acropora cervicornis,BC-8b,Untreated,132.1782178217822
23,Acropora cervicornis,SI-C,Untreated,190.81632653061226
31,Acropora cervicornis,SI-C,Untreated,252.60115606936418
