.y.,group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif
mean_replicate_percent_perID,Treated.Acer.0,Untreated.Acer.0,-0.7022222222222227,-3.0713206696523394,1.666876225207894,0.964,ns
mean_replicate_percent_perID,Treated.Acer.0,Treated.Pcli.0,-0.6502777777777773,-4.270245016260981,2.969689460705427,0.998,ns
mean_replicate_percent_perID,Treated.Acer.0,Untreated.Pcli.0,0.12916666666666732,-3.8081967217349737,4.066530055068308,1,ns
mean_replicate_percent_perID,Treated.Acer.0,Treated.Acer.28,-4.7524999999999995,-7.018180284922018,-2.4868197150779814,1.2e-4,***
mean_replicate_percent_perID,Treated.Acer.0,Untreated.Acer.28,-4.887499999999999,-7.14901755363308,-2.6259824463669186,9.71e-5,****
mean_replicate_percent_perID,Treated.Acer.0,Treated.Pcli.28,-2.2955555555555556,-5.533359840672265,0.9422487295611539,0.302,ns
mean_replicate_percent_perID,Treated.Acer.0,Untreated.Pcli.28,-3.973333333333333,-6.3849743800243,-1.561692286642367,5.62e-4,***
mean_replicate_percent_perID,Untreated.Acer.0,Treated.Pcli.0,0.05194444444444546,-3.2509779763599034,3.3548668652487943,1,ns
mean_replicate_percent_perID,Untreated.Acer.0,Untreated.Pcli.0,0.8313888888888901,-2.8386745924854453,4.501452370263225,0.99,ns
mean_replicate_percent_perID,Untreated.Acer.0,Treated.Acer.28,-4.050277777777778,-5.232069132088859,-2.8684864234666962,9.85e-8,****
mean_replicate_percent_perID,Untreated.Acer.0,Untreated.Acer.28,-4.185277777777777,-5.35460329244129,-3.015952263114265,1.01e-7,****
mean_replicate_percent_perID,Untreated.Acer.0,Treated.Pcli.28,-1.5933333333333328,-4.429607538528687,1.2429408718620216,0.531,ns
mean_replicate_percent_perID,Untreated.Acer.0,Untreated.Pcli.28,-3.2711111111111104,-4.8324241118526885,-1.7097981103695328,1.3e-5,****
mean_replicate_percent_perID,Treated.Pcli.0,Untreated.Pcli.0,0.7794444444444446,-3.6284922397482307,5.18738112863712,0.999,ns
mean_replicate_percent_perID,Treated.Pcli.0,Treated.Acer.28,-4.102222222222222,-7.347890844206654,-0.8565536002377905,0.011,*
mean_replicate_percent_perID,Treated.Pcli.0,Untreated.Acer.28,-4.237222222222222,-7.480377718097214,-0.99406672634723,0.008,**
mean_replicate_percent_perID,Treated.Pcli.0,Treated.Pcli.28,-1.6452777777777783,-5.509695213883107,2.21913965832755,0.836,ns
mean_replicate_percent_perID,Treated.Pcli.0,Untreated.Pcli.28,-3.323055555555556,-6.649496584763989,0.0033854736528775575,0.05,*
mean_replicate_percent_perID,Untreated.Pcli.0,Treated.Acer.28,-4.881666666666668,-8.50356541334612,-1.2597679199872163,0.007,**
mean_replicate_percent_perID,Untreated.Pcli.0,Untreated.Acer.28,-5.0166666666666675,-8.636382697089266,-1.3969506362440693,0.005,**
mean_replicate_percent_perID,Untreated.Pcli.0,Treated.Pcli.28,-2.424722222222223,-6.574809608188774,1.7253651637443284,0.527,ns
mean_replicate_percent_perID,Untreated.Pcli.0,Untreated.Pcli.28,-4.102500000000001,-7.792115397951903,-0.41288460204809807,0.025,*
mean_replicate_percent_perID,Treated.Acer.28,Untreated.Acer.28,-0.1349999999999998,-0.7353760551334463,0.4653760551334467,0.994,ns
mean_replicate_percent_perID,Treated.Acer.28,Treated.Pcli.28,2.4569444444444444,-0.30490037822161353,5.218789267110502,0.095,ns
mean_replicate_percent_perID,Treated.Acer.28,Untreated.Pcli.28,0.7791666666666668,-0.5389481896655672,2.097281522998901,0.469,ns
mean_replicate_percent_perID,Untreated.Acer.28,Treated.Pcli.28,2.591944444444444,-0.1667752618716727,5.3506641507605615,0.071,ns
mean_replicate_percent_perID,Untreated.Acer.28,Untreated.Pcli.28,0.9141666666666666,-0.3937214767674073,2.2220548101007402,0.28,ns
mean_replicate_percent_perID,Treated.Pcli.28,Untreated.Pcli.28,-1.6777777777777776,-4.544896075947376,1.1893405203918213,0.492,ns
