Species,ID,Colony,Treatment,Random_Tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_time,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_time,bw_final_salinity,bw_final_temp,SWrho_initial,CalcMAir_initial,SWrho_final,CalcMAir_final,percent_change
Acropora cervicornis,1,MB-B,control,6,4.255,2022-03-15T00:00:00Z,1899-12-31T10:06:00Z,35.5,28,4.8376,2022-04-21T00:00:00Z,1899-12-31T02:18:00Z,36.4,28.2,1.0226895265037685,6.53650791165995,1.023297182003828,7.433863246133019,13.728359953062244
Acropora cervicornis,6,MB-B,control,6,6.3487,2022-03-15T00:00:00Z,1899-12-31T09:52:00Z,35.5,28.1,7.0062,2022-04-21T00:00:00Z,1899-12-31T02:32:00Z,36.2,28.5,1.0226567056370548,9.752670667612033,1.0230481527418906,10.76491051911783,10.379104206475231
Acropora cervicornis,7,MB-B,control,7,3.0799,2022-03-15T00:00:00Z,1899-12-31T11:35:00Z,35.5,28.1,3.4054,2022-04-21T00:00:00Z,1899-12-31T03:02:00Z,36.3,28.1,1.0226567056370548,4.7312442530247605,1.0232553361457744,5.232909360727507,10.60323840566937
Acropora cervicornis,8,SI-C,variable,8,5.3761,2022-03-12T00:00:00Z,1899-12-31T10:56:00Z,33.9,25.6,5.6833,2022-04-21T00:00:00Z,1899-12-31T03:24:00Z,36.3,27.9,1.0222533289664752,8.25684732631002,1.023321089289348,8.73354653814967,5.773380480473126
Acropora cervicornis,12,SI-C,control,7,8.705,2022-03-15T00:00:00Z,1899-12-31T10:49:00Z,35.5,27.5,9.1,2022-04-21T00:00:00Z,1899-12-31T02:47:00Z,36.3,28.2,1.022852518660174,13.37371663678655,1.0232223491226076,13.983276963484013,4.557897727702475
Acropora cervicornis,13,MB-B,variable,8,5.4378,2022-03-12T00:00:00Z,1899-12-31T10:26:00Z,33.9,25.7,6.0251,2022-04-21T00:00:00Z,1899-12-31T03:35:00Z,36.2,28,1.0222225188316498,8.351473983350802,1.023213397079873,9.258268845063563,10.857902012513177
Acropora cervicornis,23,SI-C,control,7,6.4069,2022-03-15T00:00:00Z,1899-12-31T11:13:00Z,35.7,28.2,6.6349,2022-04-21T00:00:00Z,1899-12-31T03:03:00Z,36.3,28.1,1.0227734246558062,9.842677971605031,1.0232553361457744,10.195521911520212,3.5848367784976167
Acropora cervicornis,24,MB-B,variable,5,6.6184,2022-03-09T00:00:00Z,1899-12-31T11:01:00Z,33.8,25.2,7.2551,2022-04-21T00:00:00Z,1899-12-31T02:04:00Z,36.4,28.3,1.022300680979201,10.1650778016494,1.0232641100244664,11.148603805990543,9.675538382810563
Acropora cervicornis,25,MB-B,control,7,4.6538,2022-03-15T00:00:00Z,1899-12-31T11:19:00Z,35.6,28.2,5.0819,2022-04-21T00:00:00Z,1899-12-31T02:49:00Z,36.3,28.2,1.022698616055292,7.149176378092164,1.0232223491226076,7.808968703376857,9.22892778679445
Acropora cervicornis,26,BC-8b,control,6,4.8472,2022-03-15T00:00:00Z,1899-12-31T09:18:00Z,35.7,27.6,5.26,2022-04-21T00:00:00Z,1899-12-31T02:29:00Z,36.1,28.6,1.0229698222508439,7.4473367887459405,1.022940103881022,8.081445177135896,8.514565761926995
