Colony,Species,Treatment,Puck,Ft,Fm,fvfmraw,fvfm,max_temp,problem
B,Pclivosa,Control,P9,0.1496,0.2918,0.487,0.487,28.062485,none
C,Pclivosa,Control,P46,0.1921,0.3245,0.408,0.408,33.051499,none
A,Pclivosa,Control,P144,0.1227,0.2234,0.451,0.451,35.166187,none
B,Pclivosa,Control,P55,0.1618,0.3128,0.483,0.483,28.062485,none
B,Pclivosa,Control,P133,0.1359,0.2703,0.497,0.497,33.051499,none
A,Pclivosa,Variable,P86,0.1603,0.3099,0.483,0.483,30.058009,none
A,Pclivosa,Variable,P75,0.1672,0.3138,0.467,0.467,32.028421,none
C,Pclivosa,Variable,P47,0.1657,0.2928,0.434,0.434,30.058009,none
B,Pclivosa,Variable,P79,0.1149,0.24,0.521,0.521,34.194577,none
C,Pclivosa,Variable,P48,0.1681,0.3148,0.466,0.466,32.028421,none
C,Pclivosa,Variable,P62,0.1848,0.324,0.43,0.43,35.166187,none
A,Pclivosa,Variable,P101,0.1251,0.1569,0.202,0.202,37.237979,none
B,Pclivosa,Variable,P99,0.2146,0.3231,0.336,0.336,36.242635,none
B,Pclivosa,Variable,P2,0.1652,0.3353,0.507,0.507,30.058009,none
A,Pclivosa,Variable,P141,0.1813,0.2458,0.262,0.262,36.242635,none
C,Pclivosa,Variable,P74,0.1691,0.2981,0.433,0.433,34.194577,none
C,Pclivosa,Variable,P51,0.1652,0.3284,0.497,0.497,28.062485,none
C,Pclivosa,Variable,P76,0.153,0.2742,0.442,0.442,34.194577,none
B,Pclivosa,Variable,P108,0.107,0.2107,0.492,0.492,35.166187,none
A,Pclivosa,Variable,P121,0.1369,0.26,0.474,0.474,30.058009,none
C,Pclivosa,Variable,P15,0.1466,0.2747,0.466,0.466,28.062485,none
B,Pclivosa,Variable,P85,0.1696,0.3324,0.49,0.49,34.194577,none
B,Pclivosa,Variable,P143,0.2195,0.3084,0.288,0.288,36.242635,none
