"","Estimate","Std. Error","t-value","p-value"
"Pclivosa.Untreated-Pclivosa.Treated",-0.0713986624800356,0.128180909367085,-0.557014791302219,0.577992833630016
"Pclivosa.Untreated-Acervicornis.Treated",0.215366698360562,0.123219477187807,1.74782999632686,0.0816649162887841
"Pclivosa.Untreated-Acervicornis.Untreated",0.300993795261476,0.111191834378044,2.70697751273822,0.00723621407998379
"Pclivosa.Untreated-Acervicornis.tank_8",0.338556284603115,0.13155478958272,2.573500255498,0.010618116241559
"Pclivosa.Treated-Acervicornis.Treated",0.286765360840597,0.128800137689741,2.22643675685634,0.0268355124931745
"Pclivosa.Treated-Acervicornis.Untreated",0.372392457741512,0.117345898761761,3.17345950451624,0.00168605520536051
"Pclivosa.Treated-Acervicornis.tank_8",0.409954947083151,0.136795828105955,2.99683808168201,0.00298968965997881
"Acervicornis.Treated-Acervicornis.Untreated",0.0856270969009145,0.111905111530849,0.765175922078497,0.444855493738348
"Acervicornis.Treated-Acervicornis.tank_8",0.123189586242553,0.132158210573292,0.932137214238652,0.352123782591534
"Acervicornis.Untreated-Acervicornis.tank_8",0.0375624893416386,0.121022217357946,0.31037680652091,0.756521185706105
