"","Estimate","Std. Error","t-value","p-value"
"Pclivosa.Untreated-Pclivosa.Treated",4.12395191326859,6.86126254933153,0.601048550994507,0.548327285021079
"Pclivosa.Untreated-Acervicornis.Treated",-29.7470740587745,13.2781556343166,-2.240301656195,0.0259099091739321
"Pclivosa.Untreated-Acervicornis.Untreated",-15.8294232358801,8.14100977895916,-1.94440538283003,0.0529167676214504
"Pclivosa.Untreated-Acervicornis.tank_8",-13.4222298684336,9.92722468909471,-1.35206266492368,0.17752123148316
"Pclivosa.Treated-Acervicornis.Treated",-33.8710259720431,13.0485460433432,-2.5957701233175,0.00997038779521827
"Pclivosa.Treated-Acervicornis.Untreated",-19.9533751491487,7.76087486206699,-2.57102137372106,0.010692494876463
"Pclivosa.Treated-Acervicornis.tank_8",-17.5461817817021,9.61794821182642,-1.82431651691855,0.0692431546552364
"Acervicornis.Treated-Acervicornis.Untreated",13.9176508228944,13.7645803290723,1.01112060739685,0.312891575266355
"Acervicornis.Treated-Acervicornis.tank_8",16.3248441903409,14.8908502455486,1.09630034021872,0.273954014874087
"Acervicornis.Untreated-Acervicornis.tank_8",2.40719336744654,10.569013419553,0.227759514714321,0.820010841176444
