,AOI,Ft,Fm,fvfm,file,Tank,Puck,Colony,Date,Treatment_period,Treatment,CBASS_temp,Species
1,1,0.1471,0.3338,0.559,1,1,P9,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
2,2,0.1725,0.3851,0.552,1,1,P32,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
3,3,0.2072,0.411,0.496,1,1,P46,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
4,4,0.132,0.2972,0.556,1,1,P144,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
5,5,0.1652,0.3695,0.553,1,1,P55,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
6,6,0.1432,0.3387,0.577,1,1,P133,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
7,1,0.1603,0.3436,0.533,10,2,P86,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
8,2,0.1804,0.3783,0.523,10,2,P75,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
9,3,0.1799,0.3553,0.494,10,2,P47,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
10,4,0.1667,0.3465,0.519,10,2,P79,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
11,5,0.2028,0.3978,0.49,10,2,P48,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
12,6,0.2165,0.4267,0.493,10,2,P62,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
13,1,0.1476,0.3133,0.529,11,2,P101,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
14,2,0.1955,0.4071,0.52,11,2,P99,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
15,3,0.1818,0.393,0.537,11,2,P2,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
16,4,0.1647,0.3548,0.536,11,2,P141,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
17,5,0.2028,0.4047,0.499,11,2,P74,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
18,6,0.1887,0.3754,0.497,11,2,P51,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
19,1,0.218,0.4115,0.47,12,2,P76,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
20,2,0.2067,0.4267,0.515,12,2,P108,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
21,3,0.153,0.3348,0.543,12,2,P121,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
22,4,0.2239,0.4223,0.47,12,2,P15,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
23,5,0.1945,0.4013,0.515,12,2,P85,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
24,6,0.176,0.3666,0.52,12,2,P143,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
25,1,0.1769,0.3768,0.53,13,2,P96,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
26,2,0.1882,0.3876,0.515,13,2,P43,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
27,3,0.2199,0.4555,0.517,13,2,P94,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
28,4,0.1369,0.3006,0.545,13,2,P11,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
29,5,0.1979,0.4106,0.518,13,2,P145,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
30,6,0.1559,0.3451,0.548,13,2,P10,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
31,1,0.1764,0.3524,0.499,14,2,P107,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
32,2,0.2224,0.4712,0.528,14,2,P78,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
33,3,0.1984,0.4115,0.518,14,2,P65,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
34,1,0.2004,0.3675,0.455,15,3,P140,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
35,2,0.2361,0.4301,0.451,15,3,P39,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
36,3,0.2175,0.4169,0.478,15,3,P18,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
37,4,0.173,0.3622,0.522,15,3,P102,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
38,5,0.1955,0.4081,0.521,15,3,P59,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
39,6,0.172,0.3651,0.529,15,3,P150,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
40,1,0.2268,0.4257,0.467,16,3,P63,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
41,2,0.1989,0.4101,0.515,16,3,P8,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
42,3,0.1945,0.3935,0.506,16,3,P6,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
43,4,0.1857,0.349,0.468,16,3,P71,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
44,5,0.1872,0.3778,0.505,16,3,P112,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
45,6,0.1852,0.3803,0.513,16,3,P109,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
46,1,0.1848,0.3715,0.503,17,3,P87,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
47,2,0.1921,0.3978,0.517,17,3,P125,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
48,3,0.1935,0.3861,0.499,17,3,P118,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
49,4,0.2043,0.3895,0.476,17,3,P14,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
50,5,0.1725,0.3456,0.501,17,3,P128,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
51,6,0.1686,0.3304,0.49,17,3,P77,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
52,1,0.172,0.3426,0.498,18,3,P45,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
53,2,0.1887,0.3832,0.508,18,3,P138,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
54,3,0.175,0.3543,0.506,18,3,P100,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
55,4,0.175,0.3558,0.508,18,3,P98,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
56,5,0.1608,0.3368,0.522,18,3,P119,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
57,6,0.2097,0.3935,0.467,18,3,P67,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
58,1,0.1848,0.3622,0.49,19,3,P105,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
59,2,0.2307,0.4448,0.481,19,3,P40,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
60,3,0.197,0.3959,0.502,19,3,P88,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
61,4,0.1378,0.281,0.51,19,3,P42,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
62,5,0.1931,0.3719,0.481,19,3,P104,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
63,6,0.1931,0.3568,0.459,19,3,P137,C,4/6/22,Temp Treatment,Treated,NA,Pclivosa
64,1,0.1926,0.4003,0.519,2,1,P129,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
65,2,0.2204,0.4355,0.494,2,1,P93,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
66,3,0.1681,0.3534,0.524,2,1,P139,B,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
67,4,0.1632,0.3514,0.535,2,1,P69,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
68,5,0.1672,0.3607,0.537,2,1,P97,A,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
69,6,0.1979,0.4022,0.508,2,1,P81,C,4/6/22,Temp Treatment,Untreated,NA,Pclivosa
70,1,0.1867,0.3602,0.482,20,3,P149,B,4/6/22,Temp Treatment,Treated,NA,Pclivosa
71,2,0.176,0.3583,0.509,20,3,P117,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
72,3,0.1808,0.3788,0.523,20,3,P130,A,4/6/22,Temp Treatment,Treated,NA,Pclivosa
