,contrast,,,,,,,Contrast,Estimate,SE,df,t.ratio,p.value
,Treated,A,t0,-,Untreated,A,t0,Treated A t0-Untreated A t0,1.10E-03,0.02738,2.6,0.04,1
,Treated,A,t0,-,Treated,B,t0,Treated A t0-Treated B t0,1.01E-03,0.01001,417.98,0.101,1
,Treated,A,t0,-,Untreated,B,t0,Treated A t0-Untreated B t0,1.05E-03,0.02734,2.59,0.039,1
,Treated,A,t0,-,Treated,C,t0,Treated A t0-Treated C t0,4.02E-03,0.01011,417.99,0.398,1
,Treated,A,t0,-,Untreated,C,t0,Treated A t0-Untreated C t0,1.01E-03,0.02738,2.6,0.037,1
,Treated,A,t0,-,Treated,A,t1,Treated A t0-Treated A t1,3.43E-02,0.01011,277.95,3.392,0.1215
,Treated,A,t0,-,Untreated,A,t1,Treated A t0-Untreated A t1,2.71E-02,0.02742,2.62,0.988,1
,Treated,A,t0,-,Treated,B,t1,Treated A t0-Treated B t1,5.33E-02,0.01001,417.98,5.32,<.0001
,Treated,A,t0,-,Untreated,B,t1,Treated A t0-Untreated B t1,3.04E-02,0.02734,2.59,1.112,1
,Treated,A,t0,-,Treated,C,t1,Treated A t0-Treated C t1,4.04E-02,0.01023,418.01,3.949,0.0141
,Treated,A,t0,-,Untreated,C,t1,Treated A t0-Untreated C t1,1.02E-02,0.02738,2.6,0.373,1
,Treated,A,t0,-,Treated,A,t2,Treated A t0-Treated A t2,1.59E-01,0.01058,294.43,15.056,<.0001
,Treated,A,t0,-,Untreated,A,t2,Treated A t0-Untreated A t2,1.05E-01,0.02743,2.62,3.84,1
,Treated,A,t0,-,Treated,B,t2,Treated A t0-Treated B t2,1.47E-01,0.01001,417.98,14.693,<.0001
,Treated,A,t0,-,Untreated,B,t2,Treated A t0-Untreated B t2,9.23E-02,0.02734,2.59,3.374,1
,Treated,A,t0,-,Treated,C,t2,Treated A t0-Treated C t2,1.05E-01,0.01035,418.03,10.163,<.0001
