,contrast,,,,,Contrast,estimate,SE,df,t.ratio,p.value,
,Treated,t0,-,Untreated,t0,Treated t0-Untreated t0,-0.00062,0.02607,2.14,-0.024,1,
,Treated,t0,-,Treated,t1,Treated t0-Treated t1,0.04124,0.00582,279.22,7.089,<.0001,
,Treated,t0,-,Untreated,t1,Treated t0-Untreated t1,0.02103,0.02608,2.14,0.806,1,
,Treated,t0,-,Treated,t2,Treated t0-Treated t2,0.13556,0.00593,285.85,22.87,<.0001,
,Treated,t0,-,Untreated,t2,Treated t0-Untreated t2,0.09203,0.02608,2.14,3.529,0.9739,
,Untreated,t0,-,Treated,t1,Untreated t0-Treated t1,0.04186,0.02608,2.14,1.605,1,
,Untreated,t0,-,Untreated,t1,Untreated t0-Untreated t1,0.02165,0.00594,279.23,3.648,0.0047,
,Untreated,t0,-,Treated,t2,Untreated t0-Treated t2,0.13618,0.0261,2.15,5.217,0.4477,
,Untreated,t0,-,Untreated,t2,Untreated t0-Untreated t2,0.09265,0.00594,279.23,15.609,<.0001,
,Treated,t1,-,Untreated,t1,Treated t1-Untreated t1,-0.02021,0.02608,2.14,-0.775,1,
,Treated,t1,-,Treated,t2,Treated t1-Treated t2,0.09432,0.00595,287.31,15.862,<.0001,
,Treated,t1,-,Untreated,t2,Treated t1-Untreated t2,0.05079,0.02608,2.14,1.947,1,
,Untreated,t1,-,Treated,t2,Untreated t1-Treated t2,0.11453,0.02611,2.15,4.387,0.6332,
,Untreated,t1,-,Untreated,t2,Untreated t1-Untreated t2,0.071,0.00596,280.59,11.92,<.0001,
,Treated,t2,-,Untreated,t2,Treated t2-Untreated t2,-0.04353,0.02611,2.15,-1.667,1,
,,,,,,,,,,,,
Results,are,averaged,over,some,or,,all,of,the,levels,of:,Colony
Degrees-of-freedom,method:,kenward-roger,,,,,,,,,,
P,value,adjustment:,bonferroni,method,for,,15,tests,,,,
