Colony,Puck,Treatment,Species,fvfm_loss,fvfm_loss_norm
MB-B,A1,Untreated,Acervicornis,-0.15899999999999997,-25.603864734299513
MB-B,A100,Untreated,Acervicornis,-0.23399999999999999,-36.5625
MB-B,A101,Untreated,Acervicornis,-0.20900000000000002,-33.28025477707007
MB-B,A102,Untreated,Acervicornis,-0.20600000000000002,-32.9073482428115
MB-B,A103,Treated,Acervicornis,-0.137,-22.06119162640902
BC-8b,A104,Untreated,Acervicornis,-0.18799999999999994,-31.703204047217532
BC-8b,A105,Untreated,Acervicornis,-0.175,-28.317152103559867
SI-C,A106,Untreated,Acervicornis,-0.16299999999999998,-27.121464226289515
SI-C,A107,Treated,Acervicornis,-0.10499999999999998,-16.561514195583594
BC-8b,A108,Untreated,Acervicornis,-0.125,-20.627062706270628
BC-8b,A109,Treated,Acervicornis,-0.135,-20.119225037257824
SI-C,A11,Treated,Acervicornis,-0.10299999999999998,-16.479999999999997
BC-8b,A110,Treated,Acervicornis,-0.14800000000000002,-22.73425499231951
MB-B,A111,Treated,Acervicornis,-0.049000000000000044,-7.656250000000006
MB-B,A112,Untreated,Acervicornis,-0.20900000000000002,-33.38658146964856
SI-C,A113,Treated,Acervicornis,-0.129,-21.571906354515054
SI-C,A114,Untreated,Acervicornis,-0.186,-30.845771144278604
BC-8b,A115,Untreated,Acervicornis,-0.16999999999999998,-28.14569536423841
MB-B,A116,Untreated,Acervicornis,-0.17099999999999999,-27.229299363057326
SI-C,A117,Treated,Acervicornis,-0.16299999999999998,-27.958833619210978
BC-8b,A118,Untreated,Acervicornis,-0.10799999999999998,-17.73399014778325
SI-C,A119,Untreated,Acervicornis,-0.16299999999999998,-27.487352445193924
SI-C,A12,Untreated,Acervicornis,-0.16999999999999998,-28.716216216216218
SI-C,A120,Untreated,Acervicornis,-0.15699999999999997,-27.022375215146297
MB-B,A121,Untreated,Acervicornis,-0.203,-32.120253164556964
BC-8b,A122,Treated,Acervicornis,-0.12,-18.92744479495268
SI-C,A123,Untreated,Acervicornis,-0.176,-27.716535433070867
BC-8b,A124,Untreated,Acervicornis,-0.124,-20.462046204620464
BC-8b,A125,Treated,Acervicornis,-0.10099999999999998,-16.611842105263154
BC-8b,A128,Untreated,Acervicornis,-0.173,-28.833333333333332
MB-B,A129,Treated,Acervicornis,-0.11599999999999999,-17.159763313609467
MB-B,A13,Treated,Acervicornis,-0.14200000000000002,-22.683706070287542
BC-8b,A130,Treated,Acervicornis,-0.10799999999999993,-19.01408450704224
SI-C,A131,Treated,Acervicornis,-0.138,-21.664050235478808
MB-B,A132,Treated,Acervicornis,-0.07800000000000007,-11.854103343465056
MB-B,A133,Untreated,Acervicornis,-0.139,-21.51702786377709
BC-8b,A134,Treated,Acervicornis,-0.08999999999999997,-14.28571428571428
BC-8b,A137,Treated,Acervicornis,-0.09199999999999997,-15.307820299500827
BC-8b,A138,Untreated,Acervicornis,-0.16100000000000003,-30.149812734082403
SI-C,A139,Treated,Acervicornis,-0.14300000000000002,-22.6984126984127
SI-C,A14,Untreated,Acervicornis,-0.15299999999999997,-25.247524752475243
MB-B,A140,Untreated,Acervicornis,-0.14,-21.97802197802198
SI-C,A141,Treated,Acervicornis,-0.15200000000000002,-23.56589147286822
BC-8b,A142,Treated,Acervicornis,-0.027999999999999914,-4.886561954624767
MB-B,A143,Untreated,Acervicornis,-0.197,-31.46964856230032
BC-8b,A145,Treated,Acervicornis,-0.04499999999999993,-7.614213197969531
BC-8b,A146,Untreated,Acervicornis,-0.11399999999999999,-18.81188118811881
BC-8b,A147,Treated,Acervicornis,-0.09599999999999997,-15.238095238095234
BC-8b,A148,Untreated,Acervicornis,-0.19199999999999995,-34.042553191489354
SI-C,A149,Treated,Acervicornis,-0.09999999999999998,-16.07717041800643
MB-B,A150,Untreated,Acervicornis,-0.186,-29.062499999999996
BC-8b,A19,Treated,Acervicornis,-0.10199999999999998,-16.398713826366556
SI-C,A20,Treated,Acervicornis,-0.12,-19.93355481727575
MB-B,A21,Treated,Acervicornis,-0.16000000000000003,-25.15723270440252
BC-8b,A22,Untreated,Acervicornis,-0.179,-29.248366013071898
SI-C,A23,Untreated,Acervicornis,-0.16799999999999998,-27.45098039215686
MB-B,A24,Treated,Acervicornis,-0.09200000000000008,-13.690476190476202
MB-B,A25,Untreated,Acervicornis,-0.178,-28.525641025641026
BC-8b,A26,Untreated,Acervicornis,-0.15299999999999997,-26.0204081632653
BC-8b,A27,Treated,Acervicornis,-0.1359999999999999,-19.767441860465105
MB-B,A28,Treated,Acervicornis,-0.10699999999999998,-16.1144578313253
SI-C,A29,Treated,Acervicornis,-0.12499999999999994,-21.51462994836488
BC-8b,A3,Untreated,Acervicornis,-0.14299999999999996,-24.61273666092943
BC-8b,A30,Treated,Acervicornis,-0.10300000000000009,-15.465465465465478
SI-C,A31,Untreated,Acervicornis,-0.176,-28.52512155591572
BC-8b,A32,Treated,Acervicornis,-0.16900000000000004,-25.45180722891567
MB-B,A33,Untreated,Acervicornis,-0.22999999999999998,-36.74121405750799
SI-C,A34,Untreated,Acervicornis,-0.18,-30.201342281879196
MB-B,A35,Untreated,Acervicornis,-0.197,-31.672025723472668
MB-B,A36,Treated,Acervicornis,-0.08500000000000008,-13.097072419106329
MB-B,A38,Treated,Acervicornis,-0.20500000000000002,-32.08137715179969
MB-B,A39,Untreated,Acervicornis,-0.18,-29.31596091205212
MB-B,A4,Treated,Acervicornis,-0.14,-21.638330757341578
BC-8b,A40,Treated,Acervicornis,-0.07799999999999996,-12.479999999999993
MB-B,A41,Treated,Acervicornis,-0.134,-19.85185185185185
MB-B,A42,Untreated,Acervicornis,-0.16999999999999998,-26.813880126182966
BC-8b,A43,Untreated,Acervicornis,-0.16699999999999998,-27.740863787375414
MB-B,A44,Untreated,Acervicornis,-0.15699999999999997,-25.61174551386623
BC-8b,A45,Treated,Acervicornis,-0.13199999999999995,-22.525597269624566
SI-C,A46,Untreated,Acervicornis,-0.191,-31.158238172920065
SI-C,A48,Untreated,Acervicornis,-0.16099999999999998,-27.288135593220336
SI-C,A5,Untreated,Acervicornis,-0.177,-29.111842105263158
BC-8b,A51,Untreated,Acervicornis,-0.13099999999999995,-22.74305555555555
BC-8b,A52,Untreated,Acervicornis,-0.191,-31.209150326797385
MB-B,A53,Untreated,Acervicornis,-0.16100000000000003,-24.655436447166927
MB-B,A54,Treated,Acervicornis,-0.178,-28.164556962025316
MB-B,A55,Treated,Acervicornis,-0.07799999999999996,-12.244897959183666
MB-B,A56,Untreated,Acervicornis,-0.182,-28.843106180665607
MB-B,A57,Untreated,Acervicornis,-0.21500000000000002,-34.45512820512821
BC-8b,A58,Treated,Acervicornis,-0.16899999999999998,-26.614173228346456
MB-B,A59,Treated,Acervicornis,-0.08400000000000007,-12.574850299401207
MB-B,A6,Untreated,Acervicornis,-0.15799999999999997,-25.279999999999998
BC-8b,A60,Treated,Acervicornis,-0.15699999999999997,-25.48701298701298
SI-C,A61,Treated,Acervicornis,-0.14599999999999996,-25.614035087719294
SI-C,A62,Treated,Acervicornis,-0.13799999999999996,-23.11557788944723
BC-8b,A63,Untreated,Acervicornis,-0.16300000000000003,-25.193199381761982
SI-C,A64,Treated,Acervicornis,-0.134,-22.148760330578515
MB-B,A65,Treated,Acervicornis,-0.11199999999999999,-17.948717948717945
SI-C,A67,Untreated,Acervicornis,-0.16299999999999998,-27.394957983193276
BC-8b,A68,Treated,Acervicornis,-0.126,-20.86092715231788
SI-C,A69,Treated,Acervicornis,-0.127,-25
MB-B,A7,Untreated,Acervicornis,-0.21900000000000003,-34.7068145800317
BC-8b,A70,Untreated,Acervicornis,-0.15799999999999997,-26.870748299319725
MB-B,A71,Treated,Acervicornis,-0.11599999999999999,-17.185185185185183
BC-8b,A72,Untreated,Acervicornis,-0.09299999999999997,-15.736040609137053
MB-B,A73,Treated,Acervicornis,-0.08600000000000008,-12.855007473841566
MB-B,A74,Treated,Acervicornis,-0.121,-18.759689922480618
