Species,Treatment,CBASS_temp,fragments_remaining
Acropora cervicornis,Treated,28,6
Acropora cervicornis,Treated,30,6
Acropora cervicornis,Treated,32,5
Acropora cervicornis,Treated,33,2
Acropora cervicornis,Treated,34,5
Acropora cervicornis,Untreated,28,5
Acropora cervicornis,Untreated,30,5
Acropora cervicornis,Untreated,32,4
Acropora cervicornis,Untreated,33,4
Acropora cervicornis,Untreated,34,3
Pseudodiploria clivosa,Treated,30,1
Pseudodiploria clivosa,Treated,32,3
Pseudodiploria clivosa,Treated,33,2
Pseudodiploria clivosa,Treated,34,3
Pseudodiploria clivosa,Treated,35,2
Pseudodiploria clivosa,Untreated,30,2
Pseudodiploria clivosa,Untreated,32,4
Pseudodiploria clivosa,Untreated,33,8
Pseudodiploria clivosa,Untreated,34,1
Pseudodiploria clivosa,Untreated,35,3
