Species,Treatment,CBASS_temp,count_RTL,count_survived
Acropora cervicornis,Treated,28,0,3
Acropora cervicornis,Treated,30,0,7
Acropora cervicornis,Treated,32,0,6
Acropora cervicornis,Treated,33,0,8
Acropora cervicornis,Treated,34,0,4
Acropora cervicornis,Treated,35,8,0
Acropora cervicornis,Treated,36,9,0
Acropora cervicornis,Treated,37,8,0
Acropora cervicornis,Untreated,28,1,7
Acropora cervicornis,Untreated,30,0,8
Acropora cervicornis,Untreated,32,0,7
Acropora cervicornis,Untreated,33,0,9
Acropora cervicornis,Untreated,34,0,7
Acropora cervicornis,Untreated,35,9,0
Acropora cervicornis,Untreated,36,9,0
Acropora cervicornis,Untreated,37,9,0
Pseudodiploria clivosa,Treated,28,0,4
Pseudodiploria clivosa,Treated,30,0,7
Pseudodiploria clivosa,Treated,32,1,3
Pseudodiploria clivosa,Treated,33,0,8
Pseudodiploria clivosa,Treated,34,0,8
Pseudodiploria clivosa,Treated,35,3,3
Pseudodiploria clivosa,Treated,36,7,0
Pseudodiploria clivosa,Treated,37,11,0
Pseudodiploria clivosa,Untreated,30,0,8
Pseudodiploria clivosa,Untreated,32,0,7
Pseudodiploria clivosa,Untreated,33,0,9
Pseudodiploria clivosa,Untreated,34,3,5
Pseudodiploria clivosa,Untreated,35,3,3
Pseudodiploria clivosa,Untreated,36,7,0
Pseudodiploria clivosa,Untreated,37,12,0
