                             Df Sum Sq Mean Sq F value   Pr(>F)    
Treatment                     1   10.3    10.3   0.315    0.577    
Species                       1 1572.1  1572.1  48.225 5.07e-09 ***
CBASS_temp                    5  175.1    35.0   1.074    0.385    
Treatment:Species             1    4.2     4.2   0.128    0.722    
Treatment:CBASS_temp          5  155.6    31.1   0.954    0.454    
Species:CBASS_temp            3  125.6    41.9   1.284    0.289    
Treatment:Species:CBASS_temp  3   59.8    19.9   0.612    0.610    
Residuals                    54 1760.4    32.6                     
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
