Depth,Name,Temperature,Genotype,Replicate,Treatment,Statistic,Num_Cells,Average_Control,Adjusted_Value_T,Adjusted_Value_A
> > > ,24 bact 1_Data Source_gene1 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,24,1,1,ecoli,2.74,260,1.896666667,0.843333333,0.52
> > > ,24 bact 2_Data Source_gene1 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,24,1,2,ecoli,2.5,206,1.896666667,0.603333333,0.28
> > > ,24 bact 3_Data Source_gene1 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,24,1,3,ecoli,2.01,188,1.896666667,0.113333333,-0.21
> > > ,24 beads 1_Data Source_gene1 - 1.fcs/not junk/not loose beads/phagocytes_beads,24,1,1,beads,6.46,1439,2.423333333,4.036666667,0.993333333
> > > ,24 beads 2_Data Source_gene1 - 1.fcs/not junk/not loose beads/phagocytes_beads,24,1,2,beads,5.73,1280,2.423333333,3.306666667,0.263333333
> > > ,24 beads 3_Data Source_gene1 - 1.fcs/not junk/not loose beads/phagocytes_beads,24,1,3,beads,6.11,1364,2.423333333,3.686666667,0.643333333
> > ,24 c 1_Data Source_gene1 - 1.fcs/not junk/dextranepositive,24,1,1,dextrane_c,58.8,13165,57.83333333,0.966666667,-13.5
> > > ,24 c 1_Data Source_gene1 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,24,1,1,ecoli_c,2.18,201,1.896666667,0.283333333,-0.04
> > > ,24 c 1_Data Source_gene1 - 1.fcs/not junk/not loose beads/phagocytes_beads,24,1,1,beads_c,2.56,569,2.423333333,0.136666667,-2.906666667
> > ,24 c 2_Data Source_gene1 - 1.fcs/not junk/dextranepositive,24,1,2,dextrane_c,57.3,12616,57.83333333,-0.533333333,-15
> > > ,24 c 2_Data Source_gene1 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,24,1,2,ecoli_c,1.79,156,1.896666667,-0.106666667,-0.43
> > > ,24 c 2_Data Source_gene1 - 1.fcs/not junk/not loose beads/phagocytes_beads,24,1,2,beads_c,2.28,498,2.423333333,-0.143333333,-3.186666667
> > ,24 c 3_Data Source_gene1 - 1.fcs/not junk/dextranepositive,24,1,3,dextrane_c,57.4,12128,57.83333333,-0.433333333,-14.9
> > > ,24 c 3_Data Source_gene1 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,24,1,3,ecoli_c,1.72,149,1.896666667,-0.176666667,-0.5
> > > ,24 c 3_Data Source_gene1 - 1.fcs/not junk/not loose beads/phagocytes_beads,24,1,3,beads_c,2.43,510,2.423333333,0.006666667,-3.036666667
> > ,24 dext 1_Data Source_gene1 - 1.fcs/not junk/dextranepositive,24,1,1,dextrane,71.7,3181,57.83333333,13.86666667,-0.6
> > ,24 dext 2_Data Source_gene1 - 1.fcs/not junk/dextranepositive,24,1,2,dextrane,72.2,3217,57.83333333,14.36666667,-0.1
> > ,24 dext 3_Data Source_gene1 - 1.fcs/not junk/dextranepositive,24,1,3,dextrane,71.6,2929,57.83333333,13.76666667,-0.7
> > > ,28 bact 1_Data Source_gene1 - 1 - (1).fcs/not junk/not loose bacteria/phagocytes_ecoli,28,1,1,ecoli,2.46,222,1.593333333,0.866666667,0.24
