TimePoint,Species,Genotype,Replicate,Percent,Tank,Treatment,Average Control (for that given genotype and timepoint),Adjusted value (Percent -- Average Control)
FollowUp,Acer,BC-8b,r1,10.1,T6,Control,6.4375,3.6625
FollowUp,Acer,BC-8b,r1,5.4,T6,Control,6.4375,-1.0375
FollowUp,Acer,BC-8b,r1,5.19,T7,Control,6.4375,-1.2475
FollowUp,Acer,BC-8b,r1,5.06,T7,Control,6.4375,-1.3775
FollowUp,Acer,BC-8b,r1,3.38,T5,Variable,6.4375,-3.0575
FollowUp,Acer,BC-8b,r1,11.9,T5,Variable,6.4375,5.4625
FollowUp,Acer,BC-8b,r1,3.62,T8,Variable,6.4375,-2.8175
FollowUp,Acer,BC-8b,r1,2.84,T8,Variable,6.4375,-3.5975
FollowUp,Acer,MB-B,r1,8.51,T7,Control,7.76,0.75
FollowUp,Acer,MB-B,r1,12.5,T7,Control,7.76,4.74
FollowUp,Acer,MB-B,r1,4.92,T6,Control,7.76,-2.84
FollowUp,Acer,MB-B,r1,5.11,T6,Control,7.76,-2.65
FollowUp,Acer,MB-B,r1,5.25,T8,Variable,7.76,-2.51
FollowUp,Acer,MB-B,r1,6.33,T5,Variable,7.76,-1.43
FollowUp,Acer,MB-B,r1,6.76,T8,Variable,7.76,-1
FollowUp,Acer,MB-B,r1,9.59,T5,Variable,7.76,1.83
FollowUp,Acer,SI-C,r1,4.32,T7,Control,4.545,-0.225
FollowUp,Acer,SI-C,r1,6.83,T6,Control,4.545,2.285
FollowUp,Acer,SI-C,r1,4.75,T7,Control,4.545,0.205
FollowUp,Acer,SI-C,r1,2.28,T6,Control,4.545,-2.265
FollowUp,Acer,SI-C,r1,3.98,T8,Variable,4.545,-0.565
FollowUp,Acer,SI-C,r1,17.5,T5,Variable,4.545,12.955
FollowUp,Acer,SI-C,r1,3.86,T8,Variable,4.545,-0.685
FollowUp,Acer,SI-C,r1,8.06,T5,Variable,4.545,3.515
FollowUp,Pcli,A,r1,8.85,T4,Control,13.8125,-4.9625
FollowUp,Pcli,A,r1,17.4,T1,Control,13.8125,3.5875
FollowUp,Pcli,A,r1,11,T4,Control,13.8125,-2.8125
FollowUp,Pcli,A,r1,18,T1,Control,13.8125,4.1875
FollowUp,Pcli,A,r1,7.09,T2,Variable,13.8125,-6.7225
FollowUp,Pcli,A,r1,7.93,T2,Variable,13.8125,-5.8825
FollowUp,Pcli,A,r1,29.4,T3,Variable,13.8125,15.5875
