Species,ID,Colony,Treatment,Treatment_Tank,CBASS_tank,Removed_Date,Reason_removed,mortality_date,CBASS_recovery_tank,Bw_initial_raw_mass,bw_initial_date,bw_initial_salinity (ppt),bw_initial_temp,bw_final_raw_mass,bw_final_date,bw_final_salinity,bw_final_temp,tissue_sampled,tissue_sampling_date
Acropora cervicornis,76,BC-8b,Treated,8,1,4/22/22,RTL,4/22/22,,4.9393,3/12/22,33.9,25.6,5.2972,4/21/22,36.3,27.8,Yes,4/22/22
Acropora cervicornis,142,BC-8b,Treated,5,1,4/22/22,RTL,4/22/22,,5.669,3/9/22,33.7,25.3,,,,,,
Acropora cervicornis,145,BC-8b,Treated,8,1,4/22/22,RTL,4/22/22,,4.4085,3/12/22,33.8,25.6,,,,,Yes,3/30/22
Acropora cervicornis,19,BC-8b,Treated,5,2,4/22/22,RTL,4/22/22,,6.5198,3/9/22,33.8,25.3,,,,,Yes,3/22/22
Acropora cervicornis,45,BC-8b,Treated,8,2,4/22/22,RTL,4/22/22,,5.1116,3/12/22,33.9,25.7,,,,,Yes,3/22/22
Acropora cervicornis,58,BC-8b,Treated,8,2,4/22/22,RTL,4/22/22,,3.9996,3/12/22,33.8,25.9,,,,,,
Acropora cervicornis,40,BC-8b,Treated,5,3,,,,3,7.3016,3/9/22,33.8,25.3,7.9163,4/21/22,36.4,28.2,Yes,4/22/22
Acropora cervicornis,99,BC-8b,Treated,5,3,7/1/22,RTL,7/5/22,3,4.9072,3/9/22,33.7,25.6,5.3986,4/21/22,36.4,28.2,,
Acropora cervicornis,137,BC-8b,Treated,5,3,6/14/22,tissue sampling,6/14/22,3,2.7746,3/9/22,34,25.5,,,,,Yes,4/20/22
Acropora cervicornis,30,BC-8b,Treated,5,4,6/1/22,tissue sampling,6/1/22,4,7.0263,3/9/22,33.7,25.6,,,,,Yes,4/20/22
Acropora cervicornis,77,BC-8b,Treated,8,4,6/14/22,tissue sampling,,4,5.9786,3/12/22,33.9,25.6,,,,,Yes,3/30/22
Acropora cervicornis,109,BC-8b,Treated,5,4,6/14/22,partial mortality,,4,4.0342,3/9/22,33.8,25.3,,,,,Yes,3/30/22
Acropora cervicornis,9,BC-8b,Treated,5,5,4/25/22,dead,4/25/22,,6.5454,3/9/22,34,25.6,,,,,Yes,3/22/22
Acropora cervicornis,110,BC-8b,Treated,8,5,4/23/22,RTL,4/23/22,,5.5867,3/12/22,33.9,25.9,,,,,Yes,3/22/22
Acropora cervicornis,147,BC-8b,Treated,5,5,4/23/22,RTL,4/23/22,,5.4624,3/9/22,33.7,25.6,6.0803,4/21/22,36.4,28.3,Yes,4/22/22
Acropora cervicornis,32,BC-8b,Treated,8,6,5/17/22,RTL,,6,4.1677,3/12/22,33.8,25.7,4.5143,4/21/22,36.2,27.9,,
Acropora cervicornis,91,BC-8b,Treated,8,6,7/1/22,RTL,7/5/22,6,5.9272,3/12/22,33.9,25.6,,,,,Yes,4/20/22
Acropora cervicornis,130,BC-8b,Treated,8,6,7/4/22,bleaching,7/5/22,6,5.4633,3/12/22,33.9,25.9,5.8965,4/21/22,36.3,27.9,,
Acropora cervicornis,60,BC-8b,Treated,8,7,,,6/1/22,7,7.8957,3/12/22,33.9,25.5,8.4115,4/21/22,36.3,27.8,Yes,6/1/22
Acropora cervicornis,68,BC-8b,Treated,8,7,6/30/22,RTL,,7,8.1926,3/12/22,33.7,25.8,,,,,Yes,4/20/22
Acropora cervicornis,122,BC-8b,Treated,5,7,7/4/22,bleaching,7/7/22,7,4.7765,3/9/22,34,25.1,,,,,Yes,3/30/22
Acropora cervicornis,27,BC-8b,Treated,5,8,7/1/22,RTL,7/5/22,8,7.1494,3/9/22,34,25.5,7.8173,4/21/22,36.5,28.3,Yes,6/1/22
Acropora cervicornis,125,BC-8b,Treated,8,8,7/6/22,RTL,7/6/22,8,9.0297,3/12/22,33.9,25.6,9.5638,4/21/22,36.2,27.9,Yes,4/22/22
Acropora cervicornis,134,BC-8b,Treated,5,8,7/6/22,RTL,7/6/22,8,6.532,3/9/22,33.8,25.2,7.2138,4/21/22,36.4,28.2,,
Acropora cervicornis,26,BC-8b,Untreated,6,1,4/22/22,RTL,4/22/22,,4.8472,3/15/22,35.7,27.6,5.26,4/21/22,36.1,28.6,,
Acropora cervicornis,51,BC-8b,Untreated,6,1,4/22/22,RTL,4/22/22,,4.8521,3/15/22,35.5,27.9,,,,,,
Acropora cervicornis,104,BC-8b,Untreated,7,1,4/22/22,RTL,4/22/22,,4.7309,3/15/22,35.5,27.5,5.0433,4/21/22,36.3,28.2,,
Acropora cervicornis,89,BC-8b,Untreated,7,2,4/22/22,RTL,4/22/22,,8.809,3/15/22,35.5,27.5,,,,,Yes,4/20/22
Acropora cervicornis,138,BC-8b,Untreated,6,2,4/22/22,RTL,4/22/22,,5.1033,3/15/22,35.7,27.8,5.4243,4/21/22,36.3,28.3,,
Acropora cervicornis,148,BC-8b,Untreated,6,2,4/22/22,RTL,4/22/22,,3.6813,3/15/22,35.5,27.9,4.0382,4/21/22,36.4,28.1,Yes,4/22/22
Acropora cervicornis,22,BC-8b,Untreated,7,3,7/4/22,bleaching,7/5/22,3,5.8538,3/15/22,35.5,27.4,,,,,Yes,3/22/22
Acropora cervicornis,80,BC-8b,Untreated,6,3,,,,3,6.492,3/15/22,35.5,28,7.056,4/21/22,36.3,28.3,Yes,6/1/22
Acropora cervicornis,124,BC-8b,Untreated,7,3,7/4/22,paling,7/5/22,3,8.2462,3/15/22,35.5,27.5,,,,,Yes,3/22/22
Acropora cervicornis,70,BC-8b,Untreated,7,4,6/30/22,RTL,7/5/22,4,5.4682,3/15/22,35.5,27.5,5.8187,4/21/22,36.3,28.1,Yes,4/22/22
Acropora cervicornis,81,BC-8b,Untreated,7,4,6/14/22,tissue sampling,,4,3.876,3/15/22,35.5,27.4,4.1436,4/21/22,36.3,28.2,Yes,6/1/22
Acropora cervicornis,105,BC-8b,Untreated,6,4,6/16/22,partial mortality,6/25/22,7,3.328,3/15/22,35.5,28.1,,,,,Yes,3/30/22
Acropora cervicornis,84,BC-8b,Untreated,7,5,4/23/22,RTL,4/23/22,,5.3348,3/15/22,35.5,28.2,5.5864,4/21/22,36.3,28.2,,
Acropora cervicornis,85,BC-8b,Untreated,6,5,4/23/22,RTL,4/23/22,,6.0061,3/15/22,35.5,28.2,6.4638,4/21/22,36.2,28.5,,
Acropora cervicornis,146,BC-8b,Untreated,6,5,4/23/22,RTL,4/23/22,,4.8193,3/15/22,35.6,28.1,,,,,Yes,4/20/22
Acropora cervicornis,3,BC-8b,Untreated,6,6,6/25/22,RTL,,6,5.733,3/15/22,35.6,28.1,,,,,Yes,3/30/22
Acropora cervicornis,52,BC-8b,Untreated,7,6,6/30/22,RTL,7/5/22,6,5.0778,3/15/22,35.5,27.5,,,,,Yes,3/30/22
Acropora cervicornis,118,BC-8b,Untreated,6,6,6/14/22,partial mortality,,6,7.3332,3/15/22,35.6,28.2,7.826,4/21/22,36.4,28.1,,
Acropora cervicornis,72,BC-8b,Untreated,6,7,7/4/22,bleaching,7/5/22,7,8.9115,3/15/22,35.8,27.8,,,,,Yes,4/20/22
