gene,lpv_Treated_vs_Untreated,lpv_Untreated_vs_Initial,annot,KOG
Acropora_000021,2.9996169966384953,-1.7243978716381023,structural molecule activity,structural molecule activity
Acropora_000030,-2.738663886418828,11.363108105238645,3-hydroxy-3-methylglutaryl-coenzyme A reductase,3-hydroxy-3-methylglutaryl-coenzyme A reductase
Acropora_000033,2.011823703911968,-4.955347578822484,B cell differentiation,B cell differentiation
Acropora_000049,-3.5294993406768396,9.949591525673581,Threonyl and Alanyl tRNA synthetase second additional domain,Threonyl and Alanyl tRNA synthetase second additional domain
Acropora_000054,-2.2717385425285195,7.081777830246089,NA,NA
Acropora_000056,-1.6830587332210105,1.5565509060277456,NA,NA
Acropora_000087,3.374254667269099,-5.060564187367188,positive regulation of maintenance of mitotic sister chromatid cohesion,positive regulation of maintenance of mitotic sister chromatid cohesion
Acropora_000140,3.3664210337763905,-4.660542691871182,Coiled-coil and C2,Coiled-coil and C2
Acropora_000146,-2.641737309253442,10.589032192313054,NA,NA
Acropora_000147,-6.389305888343196,8.298030457582579,NA,NA
Acropora_000151,3.724336972504151,-16.018293564369493,Tektin family,Tektin family
Acropora_000152,2.0952231209380945,-19.355947014945972,NA,NA
Acropora_000155,-2.3343915305792247,1.9807609512280078,SUN domain containing ossification factor,SUN domain containing ossification factor
Acropora_000184,-1.417084566159661,8.389993365460034,Cytochrome c oxidase subunit Va,Cytochrome c oxidase subunit Va
Acropora_000215,1.8215801130035796,-3.4419605065679,aldehyde dehydrogenase (NAD) activity,aldehyde dehydrogenase (NAD) activity
Acropora_000237,3.9920387785379035,-7.9309059661495755,Histone H2A,Histone H2A
Acropora_000239,2.237427012444334,-6.012777465890468,Core histone H2A/H2B/H3/H4,Core histone H2A/H2B/H3/H4
Acropora_000242,-2.964537731829304,14.253739455840886,lymphoid tissue lymphoma translocation,lymphoid tissue lymphoma translocation
Acropora_000258,2.8517470093333643,-2.399014839079955,NA,NA
Acropora_000263,2.0409997386702647,-11.801166617174308,Stimulated by retinoic acid gene 6 protein homolog,Stimulated by retinoic acid gene 6 protein homolog
Acropora_000291,-3.577835861723984,2.118213081650924,negative chemotaxis,negative chemotaxis
Acropora_000315,-9.741206303338595,7.517346131905555,NA,NA
Acropora_000331,-2.3434534880654816,15.752057115406856,protein auto-ADP-ribosylation,protein auto-ADP-ribosylation
Acropora_000402,1.5171850639451938,-5.285557440272335,mitotic cell cycle checkpoint,mitotic cell cycle checkpoint
Acropora_000437,-3.4277998586859115,5.533086832733151,La ribonucleoprotein domain family member 6,La ribonucleoprotein domain family member 6
Acropora_000444,-1.9592056741142483,3.5370155545189688,Sodium/calcium exchanger protein,Sodium/calcium exchanger protein
Acropora_000501,1.4412886562541662,-7.234015312988124,Homer protein homolog,Homer protein homolog
Acropora_000509,-13.662746958682964,1.7629988833448857,protein disulfide isomerase activity,protein disulfide isomerase activity
Acropora_000511,3.566181084103517,-11.252258302588729,NA,NA
Acropora_000519,-1.8352906051969953,9.947918445689393,NA,NA
Acropora_000546,1.3344864383462134,-2.212809090783393,NA,NA
Acropora_000582,-1.6953652780647945,4.510106495094916,NA,NA
Acropora_000628,1.4163263808625215,-1.4827623712327016,NA,NA
Acropora_000629,3.0763337756805287,-13.056276966852217,negative regulation of negative chemotaxis,negative regulation of negative chemotaxis
Acropora_000719,-1.5667826392929027,13.338528226850018,NA,NA
Acropora_000724,2.9996169966384953,-1.7724438459612086,NA,NA
Acropora_000725,-1.3435999397227782,5.078351694488488,NA,NA
Acropora_000736,1.5263907726866448,-3.9652305209534298,regulation of nucleic acid-templated transcription,regulation of nucleic acid-templated transcription
Acropora_000748,-1.3201000512305894,4.627186357520294,negative regulation of smooth muscle cell differentiation,negative regulation of smooth muscle cell differentiation
Acropora_000754,2.693536894777531,-5.0161592931378935,negative regulation of smooth muscle cell differentiation,negative regulation of smooth muscle cell differentiation
Acropora_000755,3.444205477695422,-4.87433180262204,interkinetic nuclear migration,interkinetic nuclear migration
Acropora_000757,-1.4912517184783631,2.2404469647309977,calcium ion binding,calcium ion binding
Acropora_000764,3.782090092917207,-22.45684962636883,NA,NA
Acropora_000832,3.1577284747721266,-8.457947766417632,NA,NA
Acropora_000851,-1.4778834576982132,6.808062295969702,Myb/SANT-like DNA-binding domain,Myb/SANT-like DNA-binding domain
Acropora_000962,1.4884109781934491,-12.371494896538662,NA,NA
Acropora_001108,1.9896252210476897,-2.971421650512276,NA,NA
Acropora_001182,-1.5305555411887535,15.09927894796454,NA,NA
Acropora_001215,1.4143299288021391,-2.940303800512056,NA,NA
Acropora_001254,-1.5587090982357559,7.120204963006013,synaptic vesicle cytoskeletal transport,synaptic vesicle cytoskeletal transport
Acropora_001276,1.7270208413496082,-3.2230032976964664,NA,NA
Acropora_001296,-1.5037883158173568,11.55024556551421,cell surface receptor signaling pathway,cell surface receptor signaling pathway
Acropora_001323,-1.4112563587661575,7.140113035844405,phosphatidylserine metabolic process,phosphatidylserine metabolic process
Acropora_001502,-6.793769928638816,1.5887680902355192,NA,NA
Acropora_001557,7.363327089282746,-14.436705885706305,NA,NA
Acropora_001560,3.013251477893698,-5.174627772953042,NA,NA
Acropora_001581,5.424088719078084,-15.670634284606107,NA,NA
Acropora_001587,1.9074241270848702,-1.9008409586274058,NA,NA
Acropora_001595,-1.8524869066842247,1.6265079296800125,NA,NA
Acropora_001602,-31.411293981032,5.665254306793253,Belongs to the heat shock protein 70 family,Belongs to the heat shock protein 70 family
Acropora_001646,-1.507209648234735,2.2945218660740707,Poly(ADP-ribose) polymerase catalytic domain,Poly(ADP-ribose) polymerase catalytic domain
Acropora_001793,-1.9414041718590949,8.677378771972874,It is involved in the biological process described with,It is involved in the biological process described with
Acropora_001853,1.3053777235776294,11.226063039969555,NA,NA
Acropora_001857,3.351024531919484,-2.0140474400180235,NA,NA
Acropora_001859,-3.669232057236757,2.4411001756820356,vesicle fusion with Golgi apparatus,vesicle fusion with Golgi apparatus
Acropora_001888,-3.628560917563429,3.0831815150757937,NA,NA
Acropora_001897,2.6043651807799675,-6.15910610703905,Si ch211-39a7.1,Si ch211-39a7.1
Acropora_001953,-3.2302418463815123,3.224224570033661,NA,NA
Acropora_001960,-1.625777044089214,3.744018891244208,SUMO transferase activity,SUMO transferase activity
Acropora_001975,1.3834000064283463,-4.339713713602868,NA,NA
Acropora_001995,2.669198427939393,-4.252021021957843,NA,NA
Acropora_001996,-3.057510601375827,3.5766756037777276,NA,NA
Acropora_002034,-1.5498699617550582,7.833776868305482,Calcium-binding protein,Calcium-binding protein
Acropora_002050,-1.3738794871722855,3.744018891244208,NA,NA
