name	term	lev	seq	value
"photoreceptor inner segment"	GO:0001917	2	Acropora_004358	0.608933092948296
"photoreceptor inner segment"	GO:0001917	2	Acropora_020243	-1.99105855336046
"photoreceptor inner segment"	GO:0001917	2	Acropora_016209	-2.42333339610699
"photoreceptor inner segment"	GO:0001917	2	Acropora_020007	-1.36424312837667
"photoreceptor inner segment"	GO:0001917	2	Acropora_001967	-0.168956710492395
"photoreceptor inner segment"	GO:0001917	2	Acropora_009453	-0.270188708599417
"photoreceptor inner segment"	GO:0001917	2	Acropora_023720	-3.79433449115146
"photoreceptor inner segment"	GO:0001917	2	Acropora_009420	-0.851080097706784
"photoreceptor inner segment"	GO:0001917	2	Acropora_022031	-5.94054743648595
"photoreceptor inner segment"	GO:0001917	2	Acropora_004604	-0.0303224232849588
"photoreceptor inner segment"	GO:0001917	2	Acropora_013553	-3.81185954304292
"photoreceptor inner segment"	GO:0001917	2	Acropora_008688	-0.766843002172693
"photoreceptor inner segment"	GO:0001917	2	Acropora_010975	-0.203423487321801
"photoreceptor inner segment"	GO:0001917	2	Acropora_000817	-1.12455735657434
"photoreceptor inner segment"	GO:0001917	2	Acropora_009984	-2.80849771724226
"photoreceptor inner segment"	GO:0001917	2	Acropora_015636	-3.85135787238687
"photoreceptor inner segment"	GO:0001917	2	Acropora_000117	-0.14748866188136
"photoreceptor inner segment"	GO:0001917	2	Acropora_001322	-1.39469874305077
"photoreceptor inner segment"	GO:0001917	2	Acropora_003074	-6.75153218484814
"photoreceptor inner segment"	GO:0001917	2	Acropora_020244	-0.396358376193636
"photoreceptor inner segment"	GO:0001917	2	Acropora_024039	-0.117440006245071
"photoreceptor inner segment"	GO:0001917	2	Acropora_019371	2.240446964731
"photoreceptor inner segment"	GO:0001917	2	Acropora_020178	2.92300126337185
"photoreceptor inner segment"	GO:0001917	2	Acropora_000806	-0.370273631932672
"photoreceptor inner segment"	GO:0001917	2	Acropora_013391	0.0962573350164828
"photoreceptor inner segment"	GO:0001917	2	Acropora_003982	-0.273389210079133
"CCR4-NOT complex"	GO:0030014	2	Acropora_006875	-0.3131508681041
"CCR4-NOT complex"	GO:0030014	2	Acropora_004928	0.287183762962327
"CCR4-NOT complex"	GO:0030014	2	Acropora_003436	-1.17848433500315
"CCR4-NOT complex"	GO:0030014	2	Acropora_009031	0.524629758994788
"CCR4-NOT complex"	GO:0030014	2	Acropora_017991	2.21365792121403
"CCR4-NOT complex"	GO:0030014	2	Acropora_005401	-3.28704601971888
"CCR4-NOT complex"	GO:0030014	2	Acropora_001117	-0.598297960264579
"CCR4-NOT complex"	GO:0030014	2	Acropora_010422	-0.485393827050128
"CCR4-NOT complex"	GO:0030014	2	Acropora_007717	1.62557779341203
"CCR4-NOT complex"	GO:0030014	2	Acropora_022725	3.30062753427091
"CCR4-NOT complex"	GO:0030014	2	Acropora_007887	-1.15831889703932
"CCR4-NOT complex"	GO:0030014	2	Acropora_023059	-1.56468907694441
"inhibitory synapse"	GO:0060077	2	Acropora_029516	-0.52480422690029
"inhibitory synapse"	GO:0060077	2	Acropora_003983	-0.624961574908529
"inhibitory synapse"	GO:0060077	2	Acropora_013597	-0.0629844833934499
"inhibitory synapse"	GO:0060077	2	Acropora_029514	-3.33663645948595
"inhibitory synapse"	GO:0060077	2	Acropora_009233	-0.400938659997054
"inhibitory synapse"	GO:0060077	2	Acropora_016042	1.10040699074086
"inhibitory synapse"	GO:0060077	2	Acropora_000575	-0.197639425525442
"inhibitory synapse"	GO:0060077	2	Acropora_023429	-8.78158217445467
"inhibitory synapse"	GO:0060077	2	Acropora_000574	-0.0103321580386807
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_032450	1.84530260449938
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_019668	-1.05891048093752
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_013307	0.0858594991585499
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_031449	4.46278812266777
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_031595	1.85747417486645
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_008901	-3.64340883429388
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_017898	9.33991642881677
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_013135	-0.609796543153732
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_012754	-1.03654304458395
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_029732	-2.75785975398449
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_000509	1.76299888334489
"smooth endoplasmic reticulum"	GO:0005790	2	Acropora_020540	0.814870209302267
