gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annot
Pseudodiploria168526,46.467567803760254,0.7953494547384793,0.18073585185109914,4.400618065494472,1.0794297541535866e-5,0.01382247588437677,NA
Pseudodiploria168627,208.39405518866533,0.6293192063471026,0.1643664755576042,3.8287564675957912,1.2879237229205794e-4,0.045861792933453716,-
Pseudodiploria169280,8.071881701627063,1.4542532151657408,0.33145750618965886,4.387449938555991,1.146873796891103e-5,0.01382247588437677,NA
Pseudodiploria170128,7.215018642632375,-1.420894493340901,0.3884725820793335,-3.657644217091046,2.5454404171878424e-4,0.06042721281287745,NA
Pseudodiploria170389,6.049208749504645,1.1850587775128125,0.3424542135607483,3.4604882363422687,5.391967918664478e-4,0.08837433508060155,"Sulfotransferase family, cytosolic, 1C, member 3"
Pseudodiploria171009,14.260882534641254,-1.2756262645298673,0.34855660637094826,-3.659739167796158,2.524721050379728e-4,0.06042721281287745,NA
Pseudodiploria171125,79.91659807253704,-2.5780006819648906,0.35214488145654055,-7.3208523471980405,2.464008383818806e-13,3.860608335767305e-9,NA
Pseudodiploria171129,4.728514934577116,2.1107033562447475,0.5571292191839777,3.788534658685244,1.5153845470605875e-4,0.04768735436838747,NA
Pseudodiploria172199,56.39165438431109,0.6455102350781731,0.19010509988287005,3.3955440199967963,6.849235908377314e-4,0.0958159180468355,NA
Pseudodiploria173071,11.575303412439604,1.0202937525058897,0.2768891415037647,3.6848456640977285,2.2884126465613642e-4,0.05975808224387242,NA
Pseudodiploria173531,215.85855523529546,0.7961730750629449,0.23259232637947896,3.423041023993082,6.192473082640828e-4,0.09329198871040048,thick ascending limb development
Pseudodiploria173599,522.761945392215,0.6876509569613599,0.16559489646938655,4.152609601036138,3.287052361365249e-5,0.031457434193985404,NA
Pseudodiploria174030,30.99366275874036,1.2505713742203521,0.2749585561908353,4.548217707953018,5.4102152142841734e-6,0.009418583553044937,NA
Pseudodiploria174955,6.588383705562478,1.461981119457637,0.3808223140200596,3.839011175644051,1.235308084507531e-4,0.045861792933453716,NA
Pseudodiploria175155,3.9499370877688875,1.6916965661836947,0.4741826105294384,3.5676056620778804,3.6025812388979054e-4,0.07327494896616461,NA
Pseudodiploria176490,4.007169802603943,1.9088800911580253,0.5086241567360721,3.7530267996070696,1.74712168651186e-4,0.05164887280050532,NA
Pseudodiploria177409,7.850284853577176,1.2212359668846589,0.33525936169060216,3.642660299555453,2.698348352261233e-4,0.06243341605879773,structural constituent of cuticle
Pseudodiploria177825,14.404231763625917,1.4159047283222717,0.35102032296488167,4.033683053912317,5.4909368892996105e-5,0.035846666325644296,"Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein."
Pseudodiploria179414,9.742381493416291,1.422559402684258,0.34532827838150754,4.119440809630598,3.797929672120587e-5,0.031457434193985404,NA
Pseudodiploria179906,17.367238928499365,0.918623691869036,0.2646492773185829,3.471098433279315,5.183339563308255e-4,0.08732533793324057,zinc ion binding
Pseudodiploria180345,23.233098383761234,-0.7853202137413021,0.20232082037191662,-3.8815590619773377,1.0378893763662408e-4,0.04395040742947638,G-protein coupled receptor activity
Pseudodiploria180539,2.4367540925956575,-2.4837755754319084,0.6227582759755763,-3.988346154920177,6.653553002421679e-5,0.036325768234560886,NA
Pseudodiploria180897,2.0234457825557017,-2.7219716245441075,0.7305290505528206,-3.7260279005801107,1.9452088234554732e-4,0.05541369426527337,NA
Pseudodiploria181303,3.893275840815401,-1.4911890786616424,0.4310605424417019,-3.459349515534273,5.414817569401167e-4,0.08837433508060155,protein heterodimerization activity
Pseudodiploria181543,169.15313484609874,-0.8266911974020349,0.1860266992864393,-4.4439384269734115,8.832689242642213e-6,0.012636216072573325,procollagen-proline 4-dioxygenase activity
Pseudodiploria181945,13.516659296635533,1.38175399973718,0.32845517711538996,4.206826672279105,2.5898161849708618e-5,0.028688203012345717,Si dkey-256h2.1
Pseudodiploria182359,60.48733482713848,0.4989915004511919,0.14236961372438178,3.5049016949445875,4.567759119386275e-4,0.08226166653165996,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Pseudodiploria183459,15.101473175302251,-0.8098890184160712,0.22743376942221083,-3.5609884164236987,3.694613842434902e-4,0.07327494896616461,NA
Pseudodiploria184758,113.3942485999511,0.6656616389881841,0.16365332033009625,4.067510745553553,4.751801801427338e-5,0.033841468465801605,NA
Pseudodiploria184992,16.23858666109251,-0.9941401702976929,0.2782142661861085,-3.573289694758763,3.52524385327306e-4,0.07267568512247671,NA
Pseudodiploria185745,5.657545448127356,-1.3927161067119402,0.3824477724910952,-3.6415850918424892,2.7096453229501184e-4,0.06243341605879773,NA
Pseudodiploria186456,9.870589782542973,-0.8885787676390152,0.24201734306851566,-3.67154996568761,2.4108393209557833e-4,0.06042721281287745,Transmembrane protein 98
Pseudodiploria186504,11.15816708695204,1.2644156463997243,0.32889158865805196,3.8444754746049012,1.2081056605816238e-4,0.045861792933453716,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"
Pseudodiploria186606,20.93330852390569,0.8974529069497754,0.24974488101960482,3.593478686273157,3.2629235073694404e-4,0.0720049091738935,major facilitator superfamily
Pseudodiploria186724,22.712506613560866,1.504411091044491,0.3759651585125888,4.001464117037636,6.295174287596468e-5,0.036325768234560886,D-serine biosynthetic process
Pseudodiploria187226,7.595918392831541,1.3316953480387694,0.371494860096565,3.584693870845517,3.374738066661436e-4,0.07267568512247671,Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport
Pseudodiploria187229,281.19112618820634,-0.4074620700608073,0.10283256150334108,-3.962383744059207,7.420514299149275e-5,0.03733638119222259,NA
