name	term	lev	seq	value
"midbody"	GO:0030496	2	Acropora8503	0.433553707
"midbody"	GO:0030496	2	Acropora29927	-0.178423492
"midbody"	GO:0030496	2	Acropora8968	0.157887469
"midbody"	GO:0030496	2	Acropora17741	2.24755617
"midbody"	GO:0030496	2	Acropora23908	-0.135554533
"midbody"	GO:0030496	2	Acropora3992	0.429307852
"midbody"	GO:0030496	2	Acropora34431	0.739753209
"midbody"	GO:0030496	2	Acropora30077	0.411168935
"midbody"	GO:0030496	2	Acropora34124	0.040191366
"midbody"	GO:0030496	2	Acropora5241	0.070160295
"midbody"	GO:0030496	2	Acropora34414	0.820584029
"midbody"	GO:0030496	2	Acropora1276	1.727020841
"midbody"	GO:0030496	2	Acropora28055	-0.329151567
"midbody"	GO:0030496	2	Acropora18318	0.664493447
"midbody"	GO:0030496	2	Acropora17746	0.382543795
"midbody"	GO:0030496	2	Acropora1871	0.011715012
"midbody"	GO:0030496	2	Acropora1558	0.198127168
"midbody"	GO:0030496	2	Acropora15343	-0.17538898
"midbody"	GO:0030496	2	Acropora9149	0.602975875
"midbody"	GO:0030496	2	Acropora398	-0.325905108
"midbody"	GO:0030496	2	Acropora6908	2.73728766
"midbody"	GO:0030496	2	Acropora24072	0.208155445
"midbody"	GO:0030496	2	Acropora27633	-0.153782526
"midbody"	GO:0030496	2	Acropora277	0.661511278
"midbody"	GO:0030496	2	Acropora15104	-0.110701339
"midbody"	GO:0030496	2	Acropora27868	-0.055524547
"midbody"	GO:0030496	2	Acropora2712	-1.377007499
"midbody"	GO:0030496	2	Acropora9300	0.207179564
"midbody"	GO:0030496	2	Acropora1886	0.211064193
"midbody"	GO:0030496	2	Acropora19204	2.240531345
"midbody"	GO:0030496	2	Acropora224	0.03560486
"midbody"	GO:0030496	2	Acropora10589	0.399245395
"midbody"	GO:0030496	2	Acropora13808	-0.05974838
"midbody"	GO:0030496	2	Acropora3939	-0.368410124
"midbody"	GO:0030496	2	Acropora19425	-0.439596142
"midbody"	GO:0030496	2	Acropora3624	-0.540175043
"midbody"	GO:0030496	2	Acropora24369	-0.086040917
"midbody"	GO:0030496	2	Acropora9891	-0.004142708
"midbody"	GO:0030496	2	Acropora29005	-0.122933389
"midbody"	GO:0030496	2	Acropora427	0.106178595
"midbody"	GO:0030496	2	Acropora4155	-0.022163303
"midbody"	GO:0030496	2	Acropora19482	0.165520618
"midbody"	GO:0030496	2	Acropora3333	0.064605553
"midbody"	GO:0030496	2	Acropora10612	-0.003276884
"midbody"	GO:0030496	2	Acropora25644	0.45906298
"midbody"	GO:0030496	2	Acropora3574	-1.043953854
"midbody"	GO:0030496	2	Acropora2091	0.21690529
"midbody"	GO:0030496	2	Acropora1364	-0.064047649
"midbody"	GO:0030496	2	Acropora14334	-0.261883679
"midbody"	GO:0030496	2	Acropora1802	-0.280334628
"midbody"	GO:0030496	2	Acropora10731	0.326000101
"midbody"	GO:0030496	2	Acropora9045	-1.312433016
"midbody"	GO:0030496	2	Acropora78	-0.132068249
"midbody"	GO:0030496	2	Acropora496	-0.641839618
"midbody"	GO:0030496	2	Acropora9892	-0.194320649
"midbody"	GO:0030496	2	Acropora1703	-0.896418317
"midbody"	GO:0030496	2	Acropora9622	1.55206373
"midbody"	GO:0030496	2	Acropora16115	-0.043249281
"midbody"	GO:0030496	2	Acropora4176	0.405936749
"midbody"	GO:0030496	2	Acropora18968	-0.128815465
"nuclear replication fork"	GO:0043596	2	Acropora13277	1.518179305
"nuclear replication fork"	GO:0043596	2	Acropora23003	0.007327675
"nuclear replication fork"	GO:0043596	2	Acropora11158	0.767464057
"nuclear replication fork"	GO:0043596	2	Acropora3926	-0.12943144
"nuclear replication fork"	GO:0043596	2	Acropora26377	0.399271481
"nuclear replication fork"	GO:0043596	2	Acropora1894	0.248526669
"nuclear replication fork"	GO:0043596	2	Acropora20533	-0.180513357
"nuclear replication fork"	GO:0043596	2	Acropora22985	-0.598143265
"nuclear replication fork"	GO:0043596	2	Acropora34417	-0.099016532
"nuclear replication fork"	GO:0043596	2	Acropora7778	-0.429473785
"nuclear replication fork"	GO:0043596	2	Acropora22769	0.388417696
"nuclear replication fork"	GO:0043596	2	Acropora29517	0.133077071
"nuclear replication fork"	GO:0043596	2	Acropora14303	-0.231608387
"nuclear replication fork"	GO:0043596	2	Acropora27253	-1.194064467
"nuclear replication fork"	GO:0043596	2	Acropora30352	-1.893169033
"nuclear replication fork"	GO:0043596	2	Acropora2599	1.098949577
"nuclear replication fork"	GO:0043596	2	Acropora31712	-0.171589877
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora5473	-0.283154765
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora22949	-0.555777083
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora12935	-0.408051645
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora6624	0.378791833
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora1507	0.182168767
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora15221	0.137520277
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora15306	0.958402038
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora20436	0.591621489
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora13315	0.35066723
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora679	-0.115826479
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora22132	-0.483471603
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora18311	-2.221897499
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora7400	0.093530473
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora19545	0.385238372
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora25880	0.616243303
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora9106	0.42269711
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora7573	-0.052004348
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora1625	0.389023542
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora963	0.066511249
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora22413	0.392801357
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora4265	-0.349262051
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora30194	0.025048538
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora11403	0.361855336
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora10800	-0.012855211
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora22332	0.023663618
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora16417	-0.051883753
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora10117	0.08860554
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora7253	-0.18590968
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora2407	0.025048538
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora671	0.08641675
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora8697	-0.056515185
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora28749	0.287269542
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora6801	0.739753209
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora8481	0.255974493
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora12982	-1.49220612
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora10319	0.058943365
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora6479	0.037892576
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora15487	0.115662077
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora3432	1.531462223
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora8633	0.277413023
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora3218	-0.609826836
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora20480	0.034684265
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora374	-0.709228761
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora7313	0.136347637
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora12986	0.694753166
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora19358	0.603109985
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora2975	1.71720178
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora20358	-0.374399592
"Golgi stack"	GO:0005795;GO:0031985	5	Acropora5157	-0.024493191
