name	term	lev	seq	value
"serine-type endopeptidase inhibitor activity"	GO:0004867	3	Acropora321	0.498067624
"serine-type endopeptidase inhibitor activity"	GO:0004867	3	Acropora1293	1.991058553
"serine-type endopeptidase inhibitor activity"	GO:0004867	3	Acropora30194	-0.013186926
"serine-type endopeptidase inhibitor activity"	GO:0004867	3	Acropora781	-2.666283815
"serine-type endopeptidase inhibitor activity"	GO:0004867	3	Acropora13131	-0.112278129
"lysophospholipase activity"	GO:0004622	5	Acropora32873	0.314657124
"lysophospholipase activity"	GO:0004622	5	Acropora26964	-0.19574935
"lysophospholipase activity"	GO:0004622	5	Acropora1163	-4.09683541
"lysophospholipase activity"	GO:0004622	5	Acropora28621	1.525558299
"lysophospholipase activity"	GO:0004622	5	Acropora7268	-0.094863999
"lysophospholipase activity"	GO:0004622	5	Acropora9179	0.600558816
"lysophospholipase activity"	GO:0004622	5	Acropora1201	-0.226732507
"lysophospholipase activity"	GO:0004622	5	Acropora26304	0.26015275
"lysophospholipase activity"	GO:0004622	5	Acropora18298	-0.336365731
"lysophospholipase activity"	GO:0004622	5	Acropora6500	-0.139884575
"lysophospholipase activity"	GO:0004622	5	Acropora3300	-1.274287641
"lysophospholipase activity"	GO:0004622	5	Acropora5509	-0.588261182
"lysophospholipase activity"	GO:0004622	5	Acropora15364	-0.758189232
"lysophospholipase activity"	GO:0004622	5	Acropora10241	5.88390599
"lysophospholipase activity"	GO:0004622	5	Acropora19339	0.274424112
"lysophospholipase activity"	GO:0004622	5	Acropora14219	-0.458384326
"lysophospholipase activity"	GO:0004622	5	Acropora20251	0.310641177
"lysophospholipase activity"	GO:0004622	5	Acropora13055	0.287397092
"amino acid kinase activity"	GO:0019202	2	Acropora9444	0.156556712
"amino acid kinase activity"	GO:0019202	2	Acropora1859	2.441100176
"amino acid kinase activity"	GO:0019202	2	Acropora7473	-0.495297466
"amino acid kinase activity"	GO:0019202	2	Acropora840	5.286013861
"amino acid kinase activity"	GO:0019202	2	Acropora15637	0.116661068
"amino acid kinase activity"	GO:0019202	2	Acropora17270	-0.753366817
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora32222	-0.135115086
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora690	4.439285936
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora14972	3.081731546
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora541	1.515272857
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora9568	-0.832684138
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora10170	-5.82741048
"oxidoreductase activity, acting on a heme group of donors"	GO:0004129;GO:0015002;GO:0016676;GO:0016675	3	Acropora904	-0.726118347
"RNA stem-loop binding"	GO:0035613	5	Acropora7913	-2.682929789
"RNA stem-loop binding"	GO:0035613	5	Acropora4404	-5.173976263
"RNA stem-loop binding"	GO:0035613	5	Acropora2721	-5.588591974
"RNA stem-loop binding"	GO:0035613	5	Acropora1886	-0.128570165
"RNA stem-loop binding"	GO:0035613	5	Acropora2550	-1.232135925
"RNA stem-loop binding"	GO:0035613	5	Acropora4594	-2.664432982
"RNA stem-loop binding"	GO:0035613	5	Acropora29588	-0.225590749
"RNA stem-loop binding"	GO:0035613	5	Acropora2437	-0.479477929
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora30066	0.138858302
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora10312	-6.590889886
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora4337	-0.482080858
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora3174	-3.458297043
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora32733	-0.025880298
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora13900	-1.209191677
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora34304	-1.46149474
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora10976	-3.862238948
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora32987	-0.108095248
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora15281	0.076523819
"calcium-dependent protein serine/threonine kinase activity"	GO:0009931;GO:0010857	2	Acropora24411	-1.016908238
"iron ion binding"	GO:0005506	6	Acropora8686	-0.134569729
"iron ion binding"	GO:0005506	6	Acropora29154	-0.342539899
"iron ion binding"	GO:0005506	6	Acropora648	-0.709181494
"iron ion binding"	GO:0005506	6	Acropora13	0.166392292
"iron ion binding"	GO:0005506	6	Acropora10434	0.954849435
"iron ion binding"	GO:0005506	6	Acropora15312	-1.289803318
"iron ion binding"	GO:0005506	6	Acropora25170	0.904301148
"iron ion binding"	GO:0005506	6	Acropora30965	-0.028990284
"iron ion binding"	GO:0005506	6	Acropora13105	0.921899816
"iron ion binding"	GO:0005506	6	Acropora14901	-1.458688769
"iron ion binding"	GO:0005506	6	Acropora1030	0.076799397
"iron ion binding"	GO:0005506	6	Acropora10507	0.24944749
"iron ion binding"	GO:0005506	6	Acropora18297	-0.252626038
"iron ion binding"	GO:0005506	6	Acropora603	0.127041224
"iron ion binding"	GO:0005506	6	Acropora20605	-0.721325241
"iron ion binding"	GO:0005506	6	Acropora2712	-2.238550837
"iron ion binding"	GO:0005506	6	Acropora788	2.714558272
"iron ion binding"	GO:0005506	6	Acropora9753	1.426223881
"iron ion binding"	GO:0005506	6	Acropora1411	0.892395006
"iron ion binding"	GO:0005506	6	Acropora224	11.22606304
"iron ion binding"	GO:0005506	6	Acropora3575	-9.66572956
"iron ion binding"	GO:0005506	6	Acropora1811	-0.189166825
"iron ion binding"	GO:0005506	6	Acropora27303	-2.174482969
"iron ion binding"	GO:0005506	6	Acropora255	-3.094166395
"iron ion binding"	GO:0005506	6	Acropora6949	-0.481282827
"iron ion binding"	GO:0005506	6	Acropora11900	-1.64188191
"iron ion binding"	GO:0005506	6	Acropora3957	0.039629203
"iron ion binding"	GO:0005506	6	Acropora4885	-0.118637116
"iron ion binding"	GO:0005506	6	Acropora11878	0.189205447
