gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Acropora_000001,"ATP-dependent microtubule motor activity, minus-end-directed",-0.6352425768683371,Cytoskeleton,281,-982,9.413816283877e-7,5.883635177423125e-6
Acropora_000008,aminopeptidase activity,-0.25640535202830256,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000012,Snurportin1,-0.17177806900315293,RNA processing and modification,389,-511,0.00282946781439364,0.007859632817760111
Acropora_000016,G-protein coupled receptor activity,0.2179622471306803,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000018,G-protein coupled receptor activity,-0.44338853401528067,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000019,G-protein coupled receptor activity,-0.2050053133545177,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000020,protein targeting to mitochondrion,0.3750757309485311,"Intracellular trafficking, secretion, and vesicular transport",500,152,0.316975913467442,0.46614104921682653
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity,-0.13233775868100286,Signal transduction mechanisms,1514,-665,3.52408067888373e-13,8.810201697209325e-12
Acropora_000024,NUDIX domain,0.10832195434360826,"Replication, recombination and repair",370,315,0.0719330765964038,0.11239543218188094
Acropora_000026,Frataxin,0.2871864135772065,Inorganic ion transport and metabolism,289,-423,0.0322865119493812,0.05765448562389501
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,-0.16463839118502044,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000029,positive regulation of low-density lipoprotein particle receptor biosynthetic process,-0.6067722581128321,RNA processing and modification,389,-511,0.00282946781439364,0.007859632817760111
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase,0.27717378445124735,Lipid transport and metabolism,292,764,1.0099169830145e-4,5.0495849150725e-4
Acropora_000031,microtubule nucleation by interphase microtubule organizing center,0.14537590430568878,Cytoskeleton,281,-982,9.413816283877e-7,5.883635177423125e-6
Acropora_000032,unfolded protein binding,0.5681656491397602,"Posttranslational modification, protein turnover, chaperones",1245,-248,0.0127190372979482,0.02649799437072542
Acropora_000033,B cell differentiation,-0.06425060391402865,Transcription,698,-315,0.0149965226461616,0.028839466627233846
Acropora_000036,intermembrane sphingolipid transfer activity,0.005736354959158717,Signal transduction mechanisms,1514,-665,3.52408067888373e-13,8.810201697209325e-12
