gene,lpv_Treated_vs_Untreated,lpv_Untreated_vs_Initial,annot,KOG
Acropora_000021,2.9996169966384953,-1.7243978716381023,structural molecule activity,
Acropora_000030,-2.738663886418828,11.363108105238645,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Lipid transport and metabolism
Acropora_000033,2.011823703911968,-4.955347578822484,B cell differentiation,Transcription
Acropora_000049,-3.5294993406768396,9.949591525673581,Threonyl and Alanyl tRNA synthetase second additional domain,"Translation, ribosomal structure and biogenesis"
Acropora_000054,-2.2717385425285195,7.081777830246089,NA,NA
Acropora_000056,-1.6830587332210105,1.5565509060277456,NA,NA
Acropora_000087,3.374254667269099,-5.060564187367188,positive regulation of maintenance of mitotic sister chromatid cohesion,
Acropora_000140,3.3664210337763905,-4.660542691871182,Coiled-coil and C2,Function Unknown
Acropora_000146,-2.641737309253442,10.589032192313054,NA,NA
Acropora_000147,-6.389305888343196,8.298030457582579,NA,NA
Acropora_000151,3.724336972504151,-16.018293564369493,Tektin family,Function Unknown
Acropora_000152,2.0952231209380945,-19.355947014945972,NA,NA
Acropora_000155,-2.3343915305792247,1.9807609512280078,SUN domain containing ossification factor,Function Unknown
Acropora_000184,-1.417084566159661,8.389993365460034,Cytochrome c oxidase subunit Va,Energy production and conversion
Acropora_000215,1.8215801130035796,-3.4419605065679,aldehyde dehydrogenase (NAD) activity,Energy production and conversion
Acropora_000237,3.9920387785379035,-7.9309059661495755,Histone H2A,Chromatin structure and dynamics
Acropora_000239,2.237427012444334,-6.012777465890468,Core histone H2A/H2B/H3/H4,Chromatin structure and dynamics
Acropora_000242,-2.964537731829304,14.253739455840886,lymphoid tissue lymphoma translocation,Signal transduction mechanisms
Acropora_000258,2.8517470093333643,-2.399014839079955,NA,NA
Acropora_000263,2.0409997386702647,-11.801166617174308,Stimulated by retinoic acid gene 6 protein homolog,Transcription
Acropora_000291,-3.577835861723984,2.118213081650924,negative chemotaxis,Function Unknown
Acropora_000315,-9.741206303338595,7.517346131905555,NA,NA
Acropora_000331,-2.3434534880654816,15.752057115406856,protein auto-ADP-ribosylation,Carbohydrate transport and metabolism
Acropora_000402,1.5171850639451938,-5.285557440272335,mitotic cell cycle checkpoint,"Cell cycle control, cell division, chromosome partitioning"
Acropora_000437,-3.4277998586859115,5.533086832733151,La ribonucleoprotein domain family member 6,Signal transduction mechanisms
Acropora_000444,-1.9592056741142483,3.5370155545189688,Sodium/calcium exchanger protein,
Acropora_000501,1.4412886562541662,-7.234015312988124,Homer protein homolog,Function Unknown
Acropora_000509,-13.662746958682964,1.7629988833448857,protein disulfide isomerase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_000511,3.566181084103517,-11.252258302588729,NA,NA
Acropora_000519,-1.8352906051969953,9.947918445689393,NA,NA
Acropora_000546,1.3344864383462134,-2.212809090783393,NA,NA
Acropora_000582,-1.6953652780647945,4.510106495094916,NA,NA
Acropora_000628,1.4163263808625215,-1.4827623712327016,NA,NA
Acropora_000629,3.0763337756805287,-13.056276966852217,negative regulation of negative chemotaxis,Amino acid transport and metabolism
Acropora_000719,-1.5667826392929027,13.338528226850018,NA,NA
Acropora_000724,2.9996169966384953,-1.7724438459612086,NA,NA
Acropora_000725,-1.3435999397227782,5.078351694488488,NA,NA
Acropora_000736,1.5263907726866448,-3.9652305209534298,regulation of nucleic acid-templated transcription,Chromatin structure and dynamics
Acropora_000748,-1.3201000512305894,4.627186357520294,negative regulation of smooth muscle cell differentiation,Transcription
Acropora_000754,2.693536894777531,-5.0161592931378935,negative regulation of smooth muscle cell differentiation,Transcription
Acropora_000755,3.444205477695422,-4.87433180262204,interkinetic nuclear migration,Function Unknown
Acropora_000757,-1.4912517184783631,2.2404469647309977,calcium ion binding,Signal transduction mechanisms
Acropora_000764,3.782090092917207,-22.45684962636883,NA,NA
Acropora_000832,3.1577284747721266,-8.457947766417632,NA,NA
Acropora_000851,-1.4778834576982132,6.808062295969702,Myb/SANT-like DNA-binding domain,"Posttranslational modification, protein turnover, chaperones"
Acropora_000962,1.4884109781934491,-12.371494896538662,NA,NA
Acropora_001108,1.9896252210476897,-2.971421650512276,NA,NA
Acropora_001182,-1.5305555411887535,15.09927894796454,NA,NA
Acropora_001215,1.4143299288021391,-2.940303800512056,NA,NA
Acropora_001254,-1.5587090982357559,7.120204963006013,synaptic vesicle cytoskeletal transport,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001276,1.7270208413496082,-3.2230032976964664,NA,NA
Acropora_001296,-1.5037883158173568,11.55024556551421,cell surface receptor signaling pathway,Function Unknown
Acropora_001323,-1.4112563587661575,7.140113035844405,phosphatidylserine metabolic process,Function Unknown
Acropora_001502,-6.793769928638816,1.5887680902355192,NA,NA
Acropora_001557,7.363327089282746,-14.436705885706305,NA,NA
Acropora_001560,3.013251477893698,-5.174627772953042,NA,NA
Acropora_001581,5.424088719078084,-15.670634284606107,NA,NA
Acropora_001587,1.9074241270848702,-1.9008409586274058,NA,NA
Acropora_001595,-1.8524869066842247,1.6265079296800125,NA,NA
Acropora_001602,-31.411293981032,5.665254306793253,Belongs to the heat shock protein 70 family,"Posttranslational modification, protein turnover, chaperones"
Acropora_001646,-1.507209648234735,2.2945218660740707,Poly(ADP-ribose) polymerase catalytic domain,
Acropora_001793,-1.9414041718590949,8.677378771972874,It is involved in the biological process described with,"Posttranslational modification, protein turnover, chaperones"
Acropora_001853,1.3053777235776294,11.226063039969555,NA,NA
Acropora_001857,3.351024531919484,-2.0140474400180235,NA,NA
Acropora_001859,-3.669232057236757,2.4411001756820356,vesicle fusion with Golgi apparatus,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001888,-3.628560917563429,3.0831815150757937,NA,NA
Acropora_001897,2.6043651807799675,-6.15910610703905,Si ch211-39a7.1,Signal transduction mechanisms
Acropora_001953,-3.2302418463815123,3.224224570033661,NA,NA
Acropora_001960,-1.625777044089214,3.744018891244208,SUMO transferase activity,Transcription
Acropora_001975,1.3834000064283463,-4.339713713602868,NA,NA
Acropora_001995,2.669198427939393,-4.252021021957843,NA,NA
Acropora_001996,-3.057510601375827,3.5766756037777276,NA,NA
Acropora_002034,-1.5498699617550582,7.833776868305482,Calcium-binding protein,Signal transduction mechanisms
Acropora_002050,-1.3738794871722855,3.744018891244208,NA,NA
Acropora_002052,-4.857507344858315,9.792463637873755,carbohydrate binding,Function Unknown
Acropora_002072,3.314313711641831,-4.282594197446557,NA,NA
Acropora_002077,-1.3834000064283463,5.259004788724848,translation activator activity,"Translation, ribosomal structure and biogenesis"
Acropora_002084,-1.368150480403083,1.634429673682699,NA,NA
Acropora_002088,2.0661333180598676,-4.345788142997532,Protein tyrosine kinase,Signal transduction mechanisms
Acropora_002118,5.649235525318616,-14.040934289189451,sequence-specific DNA binding,Transcription
Acropora_002124,-3.780982411110891,6.365183928427929,electron transfer activity,Energy production and conversion
Acropora_002129,-3.57558688014283,8.603627937883484,NA,NA
Acropora_002130,2.0670407276851175,-2.2919134049331142,NA,NA
Acropora_002137,-1.7589028586634503,9.287982832433507,threonine-type endopeptidase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_002140,2.908829109244092,-1.5678361221673096,DNA polymerase epsilon subunit 3,Transcription
Acropora_002160,-1.3863464608722658,1.9643674071046593,positive regulation of DNA binding,Transcription
Acropora_002190,-3.7569339500457053,6.2460193596035305,NA,NA
Acropora_002204,1.9417246398440868,-5.671911659710311,RNA polymerase II,Transcription
Acropora_002205,-1.863260232839569,-3.7621711353933738,Heme binding protein 2,Function Unknown
Acropora_002225,3.7707197991525803,-6.868655387548037,negative regulation of protein depolymerization,Cytoskeleton
Acropora_002301,2.2726669167411253,-6.623324263514289,NA,NA
Acropora_002306,5.929316014171079,-4.734982489463442,DNA (cytosine-5-)-methyltransferase activity,Transcription
Acropora_002342,-2.3201068155412825,4.819470620481068,otolith formation,Lipid transport and metabolism
Acropora_002394,2.5771383358657283,-2.4438339381809113,phosphatidylserine binding,
Acropora_002399,-1.5708466385242255,6.127234012655521,"subunit, beta","Posttranslational modification, protein turnover, chaperones"
Acropora_002421,1.6704056867149477,-4.082071671422013,CMP metabolic process,
Acropora_002470,8.031740344185318,-25.873015249711532,positive regulation of presynaptic membrane organization,Signal transduction mechanisms
Acropora_002518,1.9272601651917103,-13.877822716312592,Trypsin-like serine protease,"Posttranslational modification, protein turnover, chaperones"
Acropora_002539,-1.409535056751759,4.9579264559708625,structural constituent of ribosome,"Translation, ribosomal structure and biogenesis"
Acropora_002565,2.0430419222880336,-1.4466180334370988,store-operated calcium channel activity,
Acropora_002586,1.436186429559741,-2.494598253020097,proteasome regulatory particle assembly,"Posttranslational modification, protein turnover, chaperones"
Acropora_002614,-1.361566269398607,10.832111418549724,SNAP receptor activity,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_002615,-2.1091480057391268,1.6033773494955987,haloacid dehalogenase-like hydrolase,Inorganic ion transport and metabolism
Acropora_002620,2.0486910346958767,-7.255258276362264,Dienelactone hydrolase family,"Secondary metabolites biosynthesis, transport and catabolism"
Acropora_002632,-3.9208561688679477,3.7258877088139695,calcium ion binding,
Acropora_002656,-1.4098802371612729,1.3059508689732489,trans-L-3-hydroxyproline dehydratase activity,Amino acid transport and metabolism
Acropora_002679,-1.4711305303876676,15.189403786470411,NA,NA
Acropora_002710,2.088065172182568,-3.796348573074975,heparan sulfate 2-O-sulfotransferase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_002712,-1.3770074990830576,-2.238550836639502,NA,NA
Acropora_002796,1.4194385859128376,-9.418399777934036,Rho guanine nucleotide exchange factor,Signal transduction mechanisms
Acropora_002828,-2.423927550512444,4.024178119912061,"Involved in nuclear export of spliced and unspliced mRNA. Assembling component of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription- independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap-dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cytoplasm via the TAP NFX1 pathway. May undergo several rounds of ATP hydrolysis during assembly of TREX to drive subsequent loading of components such as ALYREF THOC and CHTOP onto mRNA",RNA processing and modification
Acropora_002864,1.4001162591715008,-2.2945189939938606,isocitrate dehydrogenase (NADP+) activity,Energy production and conversion
Acropora_002965,2.730595054705739,-1.6769121333125516,methanethiol oxidase activity,Inorganic ion transport and metabolism
Acropora_002969,1.5534247643657157,-2.5316776879289904,NA,NA
Acropora_003036,1.693454335543189,-3.574567304489323,Universal stress protein family,Signal transduction mechanisms
Acropora_003070,-2.074895631871203,1.3657796461684588,Required for protein import into peroxisomes,"Posttranslational modification, protein turnover, chaperones"
Acropora_003258,-1.5181793049102694,2.4832773275168747,attachment of GPI anchor to protein,Function Unknown
Acropora_003261,1.3617222719611182,-2.6088696811690144,Phosphoethanolamine methyltransferase,Lipid transport and metabolism
Acropora_003267,2.326659386146212,-1.5440563014858566,Chromatin organization modifier domain,Chromatin structure and dynamics
Acropora_003268,2.0171894982608367,-2.223958585310541,Fanconi anaemia group A protein N terminus,Function Unknown
Acropora_003285,1.8469588017514293,-1.5052852059335309,NA,NA
Acropora_003305,-2.5011247575131015,1.6909657710121155,positive regulation of interleukin-13 biosynthetic process,Function Unknown
Acropora_003330,2.530830883406172,2.3951380525459247,NA,NA
Acropora_003339,1.7016061610564397,-2.3779742210239263,G-protein coupled GABA receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway,Function Unknown
Acropora_003353,2.338576270790336,-1.6252937934153582,15-hydroxyprostaglandin dehydrogenase (NAD+) activity,"Secondary metabolites biosynthesis, transport and catabolism"
Acropora_003418,1.3639954131006702,-13.007866304113683,adenylate cyclase-activating G-protein coupled receptor signaling pathway,Signal transduction mechanisms
Acropora_003432,1.531462223485397,-1.905854665423785,NA,NA
Acropora_003465,-5.874803509970185,2.017580298920334,negative regulation of renal output by angiotensin,Inorganic ion transport and metabolism
