gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Acropora_000001,"ATP-dependent microtubule motor activity, minus-end-directed",-0.17621335814406025,Cytoskeleton,268,311,0.0753559346641306,0.1712634878730241
Acropora_000008,aminopeptidase activity,-0.37573309005413935,"Posttranslational modification, protein turnover, chaperones",1056,-544,3.21199079899385e-9,8.029976997484624e-8
Acropora_000012,Snurportin1,0.2776882822410101,RNA processing and modification,363,529,4.56783897360328e-4,0.0027640570494293403
Acropora_000019,G-protein coupled receptor activity,-0.14262973068414075,"Posttranslational modification, protein turnover, chaperones",1056,-544,3.21199079899385e-9,8.029976997484624e-8
Acropora_000020,protein targeting to mitochondrion,-0.23196077300069537,"Intracellular trafficking, secretion, and vesicular transport",445,-598,1.26102302816358e-5,1.576278785204475e-4
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity,0.2816727244750029,Signal transduction mechanisms,1308,-68,0.415704380976884,0.5468724597117862
Acropora_000024,NUDIX domain,0.5850566506776106,"Replication, recombination and repair",287,619,2.50794118294764e-4,0.0020899509857897
Acropora_000026,Frataxin,-0.02282389251043543,Inorganic ion transport and metabolism,245,149,0.414345943514244,0.5468724597117862
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,-0.141504539929962,"Posttranslational modification, protein turnover, chaperones",1056,-544,3.21199079899385e-9,8.029976997484624e-8
Acropora_000029,positive regulation of low-density lipoprotein particle receptor biosynthetic process,-0.3808368976378731,RNA processing and modification,363,529,4.56783897360328e-4,0.0027640570494293403
Acropora_000030,3-hydroxy-3-methylglutaryl-coenzyme A reductase,-0.44930511681986235,Lipid transport and metabolism,254,164,0.361305503368787,0.5468724597117862
Acropora_000031,microtubule nucleation by interphase microtubule organizing center,0.243029974047659,Cytoskeleton,268,311,0.0753559346641306,0.1712634878730241
Acropora_000032,unfolded protein binding,0.005022237666951077,"Posttranslational modification, protein turnover, chaperones",1056,-544,3.21199079899385e-9,8.029976997484624e-8
Acropora_000033,B cell differentiation,0.2740743341919355,Transcription,584,328,0.00650301872991579,0.020321933530986845
Acropora_000036,intermembrane sphingolipid transfer activity,-0.2190725386534081,Signal transduction mechanisms,1308,-68,0.415704380976884,0.5468724597117862
Acropora_000039,Ariadne RBR E3 ubiquitin protein ligase 1,-0.03068789984866713,"Posttranslational modification, protein turnover, chaperones",1056,-544,3.21199079899385e-9,8.029976997484624e-8
Acropora_000040,protein K48-linked ubiquitination,-0.1481309306953129,"Posttranslational modification, protein turnover, chaperones",1056,-544,3.21199079899385e-9,8.029976997484624e-8
Acropora_000041,Galactose-1-phosphate uridylyltransferase,0.2099435336124329,Energy production and conversion,238,-315,0.0891479424867554,0.1857248801807404
Acropora_000048,mRNA 3'-end processing,0.11870475742754959,RNA processing and modification,363,529,4.56783897360328e-4,0.0027640570494293403
Acropora_000049,Threonyl and Alanyl tRNA synthetase second additional domain,-0.45172031473206553,"Translation, ribosomal structure and biogenesis",358,-513,7.34262455893222e-4,0.003059426899555092
Acropora_000055,Sugar transporter,-0.307986559489421,"Intracellular trafficking, secretion, and vesicular transport",445,-598,1.26102302816358e-5,1.576278785204475e-4
