name	term	lev	seq	value
"structural constituent of muscle"	GO:0008307	2	Acropora_009484	-0.132068249472854
"structural constituent of muscle"	GO:0008307	2	Acropora_011369	-0.756989289268949
"structural constituent of muscle"	GO:0008307	2	Acropora_031238	-0.115711749222967
"structural constituent of muscle"	GO:0008307	2	Acropora_005185	2.45014186596557
"structural constituent of muscle"	GO:0008307	2	Acropora_015031	1.35831679209804
"structural constituent of muscle"	GO:0008307	2	Acropora_011368	0.373839105934783
"structural constituent of muscle"	GO:0008307	2	Acropora_012387	0.134927631640393
"structural constituent of muscle"	GO:0008307	2	Acropora_004019	-0.309982133086364
"structural constituent of muscle"	GO:0008307	2	Acropora_023717	0.796718389732688
"structural constituent of muscle"	GO:0008307	2	Acropora_026403	-0.16524726595026
"structural constituent of muscle"	GO:0008307	2	Acropora_004493	1.89966344230529
"structural constituent of muscle"	GO:0008307	2	Acropora_010604	1.08219734822258
"structural constituent of muscle"	GO:0008307	2	Acropora_006835	0.184786627738519
"structural constituent of muscle"	GO:0008307	2	Acropora_013562	-0.0430728255969807
"structural constituent of muscle"	GO:0008307	2	Acropora_005767	1.51105093847369
"structural constituent of muscle"	GO:0008307	2	Acropora_024020	0.0190634736917597
"structural constituent of muscle"	GO:0008307	2	Acropora_002284	0.183118901874271
"structural constituent of muscle"	GO:0008307	2	Acropora_022662	-0.292295813897083
"structural constituent of muscle"	GO:0008307	2	Acropora_026351	0.83299639074956
"structural constituent of muscle"	GO:0008307	2	Acropora_022711	-1.40961723367009
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_017335	0.599109631454679
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_008501	-0.550121637391958
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_003555	0.0172458607094178
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_031412	-0.0045110766544566
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_004389	0.220855203545441
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_004198	0.08580941034755
"sulfur amino acid transmembrane transporter activity"	GO:0000099;GO:0015184	2	Acropora_008500	-0.557371047544968
"vinculin binding"	GO:0017166	2	Acropora_006009	-1.3923217814266
"vinculin binding"	GO:0017166	2	Acropora_018144	0.0436149837366314
"vinculin binding"	GO:0017166	2	Acropora_026479	0.418805643541068
"vinculin binding"	GO:0017166	2	Acropora_006641	0.123773946754883
"vinculin binding"	GO:0017166	2	Acropora_006820	1.77141345813717
"vinculin binding"	GO:0017166	2	Acropora_028209	-0.650392599719972
"vinculin binding"	GO:0017166	2	Acropora_009451	-0.195340981592668
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_022034	-0.0884249164581654
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_022230	0.127691346378277
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_020340	-0.754995994037324
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_003234	0.448363221749311
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_009297	0.388392692391361
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_004115	0.502198701741437
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_024072	0.208155444993417
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_34279	-0.320514304846186
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_026238	0.495034944597248
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_031379	1.02981598805965
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_024153	0.133901997334698
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_025935	1.57084663852423
"RNA polymerase II general transcription initiation factor binding"	GO:0001091	3	Acropora_017482	-0.830782861641245
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_031957	-0.074702845699201
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_010301	-0.0423286631253367
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_017964	-0.305347173187484
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_002619	-0.280833659856419
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_019953	-0.0758171324118241
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_032577	0.0990165322193376
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_026681	-1.08657794357817
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_004703	-0.335361796144453
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_032368	0.135554532597779
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_008718	-0.132914823764965
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_014757	-2.16117756333877
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_010305	-0.672893308765087
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_031956	0.2135082257642
"nucleotide transmembrane transporter activity"	GO:0015215	2	Acropora_002812	0.957515190922162
