gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annot
Acropora1006,35.634870604655795,2.2345666393959367,0.42602887671074885,5.245106051609477,1.5619245808722551e-7,2.56993148186398e-6,Sterile alpha motif domain containing 11
Acropora10301,0.8577593403578376,-2.7283500918866705,0.8742548258351346,-3.1207721264568438,0.0018037755374938481,0.00804123611804053,NA
Acropora10415,1.0912491251945702,2.3706341223580565,0.9670860662035493,2.4513165944623307,0.014233470140098818,0.044158041797791994,NA
Acropora10490,5.672801903437912,-5.080281693088721,1.1255010906864316,-4.513795441984254,6.3677638348468095e-6,6.598683225154489e-5,Chlorophyll A-B binding protein
Acropora1057,70.48570395443411,2.133032058298357,0.2753295009240066,7.747197634615597,9.394268485486886e-15,9.8428082994442e-13,DNA binding
Acropora10586,11.26271655154099,2.1285211567823366,0.3761663368259139,5.658457305730138,1.5273970083614045e-8,3.319318495924787e-7,NA
Acropora10765,1.0948566697323852,2.254983511895876,0.82849422060298,2.721785446197433,0.006493028275485234,0.023286117100775855,Ribosomal protein L13
Acropora10821,1.8859495061165543,2.6647993552813367,0.8169344301799882,3.2619501110930336,0.0011064861477292542,0.005366948821373738,solute carrier family 22
Acropora10942,1.2711250946574633,3.1711465107133456,0.9471359152514823,3.3481430274675485,8.135501328736462e-4,0.00414492416525685,NA
Acropora11015,7.536112385691606,2.0714655567977243,0.46743266725297383,4.431580635926437,9.354481764233975e-6,9.213913930611659e-5,NA
Acropora11125,1.6313309899537725,2.062125305080301,0.7618357731893048,2.7067845560041635,0.006793833102073533,0.024174115093010724,NA
Acropora11170,98.76773521044237,2.2994548397593584,0.228698911793077,10.054507132241483,8.775946511442438e-24,9.100656532365808e-21,NA
Acropora11305,45.35392377394921,2.8499683719364066,0.46270174459056973,6.159407015977981,7.301783837658279e-10,2.2392185701076087e-8,NA
Acropora11335,24.847417024152318,2.248925822267847,0.2904957954787753,7.741681143994946,9.811078699483838e-15,1.0200243080802696e-12,NA
Acropora11405,15.45940389308592,2.625642172478204,0.41623788655778604,6.308032635356195,2.826046349488923e-10,9.60452037919164e-9,NA
Acropora11462,128.88316973054555,2.4265530528615913,0.302616493027742,8.018575024062352,1.0697893494825643e-15,1.4144433315777122e-13,NA
Acropora11551,2.6874615346642687,2.226087258365745,0.6612261701833272,3.3666048906511894,7.609963540972093e-4,0.0039226326215591936,NA
Acropora11575,56.32012465536839,-4.1653449668789,0.5204160299574154,-8.003875221175914,1.205635624076535e-15,1.5779780435122103e-13,NA
Acropora1160,104.47930008429162,-2.0814509384682967,0.39621811238555604,-5.253295781801254,1.4940131527709606e-7,2.4722738926970524e-6,NA
Acropora11815,22.22975028524192,2.296268821201411,0.4068453949308887,5.644082125082135,1.6606479598148946e-8,3.5781345465526785e-7,NA
Acropora11925,2.4417731791840267,2.24953599031727,0.7099755151806739,3.1684698165186864,0.0015324366027113683,0.00705639684885072,pfkB family carbohydrate kinase
Acropora12035,58.26681745339793,-5.32092537060772,0.6455607733052474,-8.242330684630632,1.6888801729146396e-16,2.7993188866060152e-14,NA
Acropora12046,5.1983380131421395,-2.211911923821749,0.4751320427319121,-4.655362562170524,3.2341108458690075e-6,3.681644761292526e-5,mitochondrial membrane fusion
Acropora12180,7.3710525067077235,-2.0484216033736935,0.38612527323959595,-5.30507000017743,1.1262976686662931e-7,1.9317581261183583e-6,NA
Acropora1219,8.509482780206879,-2.058788230859399,0.48164261131547853,-4.2745143027033405,1.9155440910259385e-5,1.7011495316943793e-4,NA
Acropora12220,23.464901011513764,2.3498489341002045,0.2970529018131468,7.91054024302484,2.562743146150445e-15,3.06642074141309e-13,Lipid phosphate phosphohydrolase
Acropora12280,3.3959742124816725,2.2788405525920146,0.5330847258530356,4.274818695931387,1.9129289646107323e-5,1.6995735086940212e-4,NA
Acropora12337,1.5549090164312578,-2.157223605825425,0.8441861545466107,-2.5553885173395323,0.010606933236544847,0.03476306328084143,NA
Acropora12362,23.072406016814565,-2.0625252322873315,0.43006066459198306,-4.795893700820412,1.6195114986498724e-6,2.0190475813778296e-5,NA
Acropora12394,1.6338596313971077,2.0239841700120005,0.819748449179264,2.469030800898035,0.013547955665973943,0.0424744163565104,Alpha beta hydrolase domain-containing protein
Acropora12571,1.566401636390414,2.177179654442675,0.8892122690762538,2.448436363461796,0.014347777250103642,0.04445129120008745,G-protein coupled receptor activity
Acropora12623,4.170539014887727,2.447028398253538,0.6108363397755695,4.006029502358379,6.174793996405603e-5,4.6006578831629224e-4,NA
Acropora1270,771.7252585290564,3.241311037463448,0.4737593248795797,6.841682827641072,7.826823009075097e-12,3.971646210238697e-10,CUB domain-containing protein 2
Acropora130,3481.555115899384,-6.599375403554837,1.172256500085747,-5.629634301939987,1.8059210756107124e-8,3.858260225088433e-7,NA
Acropora1307,588.5075790636828,-2.0930848666628292,0.22628978880395376,-9.249577180330368,2.253824545820435e-20,9.397054237795448e-18,Er lumen protein retaining receptor
Acropora13191,4.209216723582487,2.9448189385194943,0.6482976847978051,4.542386942871686,5.5620827497239e-6,5.8742969138602276e-5,NA
Acropora13245,20.234409165790833,3.0286833054694573,0.3371798611369802,8.98239679931254,2.64931427986187e-19,8.158885668511034e-17,NA
Acropora13296,2.029310207862801,-4.091016388951678,0.7563548881692526,-5.408858266063344,6.342779973019056e-8,1.162833410919355e-6,NA
Acropora1341,1.4055563405389753,-3.305467178078067,0.8785115724934606,-3.762576705388445,1.681717049246721e-4,0.0010861335455554955,-
Acropora13537,85.88879934282315,2.1821238807737573,0.4004931228789008,5.4485926377157226,5.0769945869485034e-8,9.61727831756245e-7,DNA binding
Acropora13713,1.0046350156151487,2.172212790809481,0.8572639111987334,2.533890395283317,0.011280400886026406,0.03659366752495115,NA
Acropora13880,1.2502692173948635,-2.2646882696585773,0.9111120271263959,-2.4856309676882398,0.012932199225215565,0.040879860345895976,NA
Acropora13954,2.4009279040664775,2.1554254980237273,0.6902770072479187,3.122551490766356,0.0017929074034279532,0.008000912918877782,NA
Acropora14043,1.797307319660055,2.0407810405474525,0.806906759223026,2.529141089997225,0.011434205242713213,0.03701245098695778,Mediator of RNA polymerase II transcription subunit 23
Acropora14144,1.8372967458825158,2.0601708798203013,0.7316700318771007,2.8157103476480096,0.004866952458482556,0.018383689014514804,NA
Acropora14335,30.12366920254799,2.1418631235599883,0.29024027063187086,7.3796207497223625,1.587410552396532e-13,1.219615188760381e-11,NA
Acropora14421,111.15129571062299,-3.7991030177145197,0.3002861934968662,-12.651607366537707,1.0960912149733066e-36,7.388202834527573e-33,NA
Acropora1443,7.358352573583847,-2.32155074795327,0.5164417976240079,-4.495280511054723,6.9478293290151566e-6,7.099319392454774e-5,NA
Acropora14538,2.60823553958866,-2.4774034552781825,0.8214213375081388,-3.015995984221235,0.0025613665217266127,0.010818730677617691,NA
Acropora14855,115.76485397074984,-4.354967756398488,0.3694156898992959,-11.788800193044503,4.45847264529496e-32,1.387030839951262e-28,NA
Acropora14904,5.052411098288033,2.1478134845639625,0.6727959960312726,3.1923695997503065,0.0014111064362478246,0.006599904892005409,NA
Acropora15157,26.30125614231714,2.025338334092543,0.31485723223810425,6.43256094102016,1.2547169898712171e-10,4.702921151191996e-9,NA
Acropora15176,1.4115220907359978,2.565701522300568,0.7825406900792851,3.2786812939281376,0.0010429334898840494,0.005099497609543427,NA
Acropora15209,22.736121599812495,2.418594704398285,0.315878184690203,7.656732315244618,1.907235898965504e-14,1.8387418222706656e-12,DNA replication origin binding
Acropora15273,2.3544631572615495,2.0079538950118216,0.6821649423496412,2.9435020335340716,0.0032452169117265705,0.013140399235177984,NA
Acropora15333,59.97190656740857,2.2844565579613976,0.2360238365936294,9.67892307375135,3.705990486224925e-22,2.317164885170207e-19,NA
Acropora1539,1.245158945659514,2.29053629798539,0.811400861541521,2.8229404312361317,0.004758541212102456,0.018044977237792748,photosynthetic electron transport chain
Acropora15486,5.246874846793661,3.758572233524458,0.7632522641008851,4.92441674962088,8.461234053719693e-7,1.1319804460290623e-5,NA
Acropora15531,1.3733416986390492,-2.4491008118059,0.8501433397409894,-2.8808092674725416,0.003966555940047064,0.01552045490357231,NA
Acropora15669,5.208166717900816,3.0437308233401392,0.9292279827028863,3.2755479602397526,0.0010545720680587244,0.005147243319876779,NA
Acropora15674,1.367230010333563,2.521640524639595,0.7974207333785605,3.1622460002460127,0.0015655724735546956,0.007181992689198339,NA
Acropora15706,1.9188194048497076,-2.6087634732819724,0.6798481947628046,-3.837273516909398,1.2440788234788008e-4,8.410946148103167e-4,NA
Acropora15739,18.79832395400008,-2.204230049855495,0.3287230827282481,-6.705431305770849,2.008123441916787e-11,9.249947193785948e-10,NA
Acropora15786,2.395067415150386,2.674942794321386,0.700963962653568,3.816091749132334,1.355821072668283e-4,9.053520540497656e-4,cytidylate kinase activity
Acropora15971,1.1964172580475014,2.107850449384754,0.7814469293670964,2.697368650602963,0.006988985063008294,0.024729267095646934,Belongs to the eukaryotic ribosomal protein eL20 family
Acropora1603,35.13663719186506,2.99016998762459,0.42269249258928865,7.074102426820256,1.5041915611545527e-12,9.245291688111486e-11,NA
Acropora16043,56.44628627190685,2.1926649000493175,0.26104806022213656,8.399468274858998,4.485048667544913e-17,8.103902022877739e-15,cytochrome P450
Acropora16128,1.2459201862602367,2.0467722354487647,0.7845557982221176,2.6088294039594846,0.009085252274980611,0.03065533603846495,NA
Acropora16252,2.4295483373344844,-3.4894059886687057,0.7053498741084284,-4.947056938344763,7.534394314512559e-7,1.0208157764215459e-5,Involved in the regulation of homocysteine metabolism
Acropora16258,1.5573518338701773,3.47595665264674,0.8031680723364851,4.327807307547575,1.5060113574909017e-5,1.3852084905845928e-4,NA
Acropora16308,2.409336440105984,2.254701733033126,0.6963453562791423,3.237907329605698,0.0012040991474352798,0.005776676372446622,NA
Acropora16363,21.243517798858957,3.081574644507348,0.3412460946358616,9.03035871456829,1.7110996781241124e-19,5.626179209949063e-17,-
Acropora16396,21.29922933751522,4.390877312768682,0.5144345999948323,8.535346014464793,1.3973659947075617e-17,2.743382180774656e-15,NA
Acropora16501,1.5353814298126864,3.742625279542127,1.0448553147720754,3.581955536454866,3.410318455177526e-4,0.001981374935824518,NA
Acropora16534,4.9745374030337635,-4.478630221786511,1.0158301778537395,-4.408837539409417,1.039269467563834e-5,1.0091518625854535e-4,NA
Acropora16560,1.5574858697284806,2.580220504676536,0.7364475275653292,3.503604001776825,4.590073782476094e-4,0.0025562703660793264,NA
Acropora17061,12.438052465683876,2.447933465695067,0.4201329011347529,5.826569304816049,5.657837733213932e-9,1.369359254604255e-7,NA
Acropora17177,12.578536238896836,-2.2552387058176806,0.2941935677019469,-7.665832816924488,1.7767450243393602e-14,1.7356738893564431e-12,NA
Acropora17272,3.1540525002287385,3.0070384740842426,0.7520211038615128,3.998609159561563,6.371579399314518e-5,4.728179553146368e-4,NA
Acropora17288,1.3713754014429647,2.087648061514226,0.8595913380006274,2.4286518130464247,0.015155078838688987,0.04650355489173738,NA
Acropora1734,41.78539595521617,2.2418304118266756,0.49314181566956033,4.546015650250312,5.467097295632538e-6,5.7926595736774094e-5,NA
