gene,KOG
Acropora_000041,Galactose-1-phosphate uridylyltransferase
Acropora_000113,NA
Acropora_000233,endopeptidase inhibitor activity
Acropora_000330,NA
Acropora_000452,ATP-dependent RNA helicase
Acropora_000616,NA
Acropora_000617,NA
Acropora_001329,Decapping mRNA 2
Acropora_001389,asymmetric protein localization involved in cell fate determination
Acropora_001432,regulation of mitotic cell cycle
Acropora_002037,NA
Acropora_002527,NA
Acropora_002633,NA
Acropora_003229,NA
Acropora_003260,NA
Acropora_003588,NA
Acropora_004118,Beta-catenin-like protein 1
Acropora_004119,Fanconi anemia-associated protein of 24 kDa
Acropora_004529,phospholipid-translocating ATPase activity
Acropora_004779,prenylcysteine oxidase activity
Acropora_004943,solute carrier family 17
Acropora_005823,Wnt-activated receptor activity
Acropora_005842,purine-rich negative regulatory element binding
Acropora_006515,huntingtin
Acropora_006533,urocanate hydratase activity
Acropora_006587,homeobox
Acropora_006911,osteoblast proliferation
Acropora_006987,nuclear receptor transcription coactivator activity
Acropora_007156,NA
Acropora_007165,NA
Acropora_007426,"GA repeat binding protein, beta 2a"
Acropora_007595,NA
Acropora_007710,CYTH domain
Acropora_007843,glutamate dehydrogenase [NAD(P)+] activity
Acropora_007881,NA
Acropora_008000,histone acetyltransferase activity
Acropora_008276,NA
Acropora_008654,Tti2 family
Acropora_008688,pyruvate kinase activity
Acropora_008731,NA
Acropora_008986,NA
Acropora_009045,NA
Acropora_009046,ThiF family
Acropora_009210,NA
Acropora_010101,kelch-like
Acropora_010373,NA
Acropora_010434,NA
Acropora_010639,NA
Acropora_010662,NA
Acropora_011059,MIT domain binding
Acropora_011109,amyloid-beta metabolic process
Acropora_011190,negative regulation of cell proliferation involved in heart valve morphogenesis
Acropora_011243,Uncharacterised protein family UPF0565
Acropora_011277,NA
Acropora_011313,methylmalonyl-CoA mutase activity
Acropora_011393,"Leucine-rich repeats, outliers"
Acropora_011980,MFS_1 like family
Acropora_012435,NA
Acropora_013293,NA
Acropora_013383,Membrane transport protein
Acropora_013477,social behavior
Acropora_013662,methylenetetrahydrofolate reductase (NAD(P)H) activity
Acropora_013681,NA
Acropora_014098,axoneme assembly
Acropora_014516,phenylalanyl-tRNA aminoacylation
Acropora_014845,Leukocyte cysteine proteinase inhibitor 1-like
Acropora_015118,Olfactomedin-like
Acropora_015574,Assists the folding of proteins upon ATP hydrolysis
Acropora_015769,spectrin binding
Acropora_016142,laminin subunit
Acropora_016181,NA
Acropora_016699,Histone H3-like nucleosomal protein that is specifically found in centromeric nucleosomes. Replaces conventional H3 in the nucleosome core of centromeric chromatin at the inner plate of the kinetochore. The presence of CENPA subtly modifies the nucleosome structure and the way DNA is wrapped around the nucleosome and gives rise to protruding DNA ends that are less well-ordered and rigid compared to nucleosomes containing histone H3. May serve as an epigenetic mark that propagates centromere identity through replication and cell division
Acropora_017412,ubiquitin carboxyl-terminal hydrolase 34
Acropora_017542,Belongs to the small heat shock protein (HSP20) family
Acropora_017934,RNA binding
Acropora_018062,polycystic kidney disease protein 1-like
Acropora_018113,trans-2-enoyl-CoA reductase
Acropora_018196,coproporphyrinogen oxidase activity
Acropora_018303,NA
Acropora_018407,DNA Replication
Acropora_018456,NA
Acropora_018497,ethanolaminephosphotransferase activity
Acropora_019443,TNF receptor-associated factor
Acropora_019636,Tektin 3
Acropora_019879,phosphoprotein phosphatase activity
Acropora_020070,phosphatidylserine decarboxylase activity
Acropora_020109,Malate synthase
Acropora_020185,NA
Acropora_020281,fibroblast growth factor-activated receptor activity
Acropora_020475,NA
Acropora_021788,positive regulation of DNA ligase activity
Acropora_021960,Leucine-rich repeat-containing protein 63
Acropora_021968,propionyl-CoA carboxylase activity
Acropora_022082,Belongs to the peptidase S1 family
Acropora_022217,GPALPP motifs containing 1
Acropora_022612,"sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated"
Acropora_022711,motor activity
Acropora_022903,Common central domain of tyrosinase
Acropora_022921,SH2-containing protein
Acropora_023112,Histone H2A
Acropora_023480,Myotubularin-like phosphatase domain
Acropora_023641,fibroblast growth factor-activated receptor activity
Acropora_023947,Si dkey-5i3.5
Acropora_024044,-
Acropora_024443,NA
Acropora_025279,NA
Acropora_025637,NA
Acropora_026700,NA
Acropora_026858,Coenzyme A synthase
Acropora_027347,Zinc finger protein
Acropora_028061,negative regulation of centriole-centriole cohesion
Acropora_028264,regulation of actin phosphorylation
Acropora_028455,glutamine-tRNA ligase activity
Acropora_029490,NA
Acropora_029501,Potential Monad-binding region of RPAP3
Acropora_029953,L-DOPA binding
Acropora_029992,NA
Acropora_029997,NA
Acropora_030018,positive regulation of p38MAPK cascade
Acropora_031200,NA
Acropora_031352,acid phosphatase activity
Acropora_031379,regulation of double-stranded telomeric DNA binding
Acropora_031460,spindle assembly
Acropora_032464,NA
Acropora_032532,NA
Acropora_34128,PLAC8 family
Acropora_34531,NA
Acropora_34551,NA
