gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Pseudodiploria164308,Macrophage migration inhibitory factor (MIF),-0.21818466825342334,Defense mechanisms,47,277,0.433741224439166,0.8685393273321329
Pseudodiploria164412,metalloendopeptidase activity,-0.1928398382254387,"Posttranslational modification, protein turnover, chaperones",902,101,0.238744972934695,0.5968624323367375
Pseudodiploria164590,Calcium ion binding. It is involved in the biological process described with protein folding,-0.12347185901287452,"Posttranslational modification, protein turnover, chaperones",902,101,0.238744972934695,0.5968624323367375
Pseudodiploria164681,MAP kinase activity,-0.027622325155944726,Signal transduction mechanisms,1063,-476,2.11992784522265e-9,5.299819613056625e-8
Pseudodiploria164735,purine-rich negative regulatory element binding,0.8980984169896028,Transcription,473,-167,0.145897652712972,0.4559301647280375
Pseudodiploria164777,serine-type endopeptidase activity,0.34299607884274874,"Posttranslational modification, protein turnover, chaperones",902,101,0.238744972934695,0.5968624323367375
Pseudodiploria164795,DnaJ molecular chaperone homology domain,-0.22682869221938123,"Posttranslational modification, protein turnover, chaperones",902,101,0.238744972934695,0.5968624323367375
Pseudodiploria164798,cell redox homeostasis,0.26610381536342065,"Posttranslational modification, protein turnover, chaperones",902,101,0.238744972934695,0.5968624323367375
Pseudodiploria164810,transmembrane receptor protein tyrosine kinase activity,0.6567207409010898,Signal transduction mechanisms,1063,-476,2.11992784522265e-9,5.299819613056625e-8
Pseudodiploria164812,Polo kinase kinase,0.08404094080222242,Signal transduction mechanisms,1063,-476,2.11992784522265e-9,5.299819613056625e-8
Pseudodiploria164857,L-aspartate import across plasma membrane,0.12388379884084753,Amino acid transport and metabolism,271,437,0.00348209405934168,0.029017450494514
Pseudodiploria164895,acetylcholine-gated cation-selective channel activity,-0.9507462167649711,"Intracellular trafficking, secretion, and vesicular transport",363,-124,0.33816043961161,0.7685464536627501
Pseudodiploria164946,post-chaperonin tubulin folding pathway,0.3846145065313574,Cytoskeleton,264,29,0.846595197284513,0.992021730708691
Pseudodiploria164969,"Cytochrome P450, family 21, subfamily A, polypeptide 2",0.3551628172254033,"Secondary metabolites biosynthesis, transport and catabolism",195,600,6.22411565442984e-4,0.0077801445680373005
Pseudodiploria165047,signaling receptor binding,-0.5040314626028638,Cell wall/membrane/envelope biogenesis,77,-163,0.555865169492565,0.8685393273321329
Pseudodiploria165280,4-coumarate--CoA ligase 1-like,0.2534800606144786,Lipid transport and metabolism,232,-96,0.552413357390375,0.8685393273321329
