gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pseudodiploria165214,NA,125.30065161370533,0.7872398649261668,0.19963686616291232,3.9433591603453895,8.03481854452887e-5,0.01773414747132298
Pseudodiploria166380,NA,2.6132574145183955,-2.4193468826993376,0.6570574082516325,-3.6820936075235653,2.3132643719886935e-4,0.03668208445406926
Pseudodiploria167074,NA,28.98996436119782,-0.656899087789181,0.18418775799830642,-3.56646443242564,3.618298923163279e-4,0.04511273000918003
Pseudodiploria167956,NA,22.992667725983715,0.6446110330049718,0.172282475583296,3.7415937449384513,1.8285694280193612e-4,0.030167701482666894
Pseudodiploria168212,NA,1.77711068849387,-3.0428690522595327,0.7791348400955178,-3.9054460096874797,9.405175601019868e-5,0.019444902922969305
Pseudodiploria168214,NA,7.041949274090074,1.2253127195108569,0.27803684671582046,4.407015595178435,1.0480464489226719e-5,0.0034934168673987753
Pseudodiploria168526,NA,46.467567803760254,-1.0722173718667087,0.1618710035816068,-6.623900193008647,3.4984302436999137e-11,6.3488734633723e-8
Pseudodiploria168627,-,208.39405518866533,-1.0013906702569535,0.1476928061031349,-6.780226448928565,1.1998766268469273e-11,3.2662641577151436e-8
Pseudodiploria168859,NA,76.87141319968286,-0.5681945034393356,0.12847128794116464,-4.422735325106641,9.745910478244482e-6,0.003386807571088662
Pseudodiploria169280,NA,8.071881701627063,-1.1438661627024256,0.27604591834868925,-4.143753218830584,3.4166741545609834e-5,0.009148285076466318
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,18.00992505305566,-1.2437407319610914,0.348512030199916,-3.5687167850350754,3.5873395625428373e-4,0.04511273000918003
Pseudodiploria171009,NA,14.260882534641254,1.4109185448406714,0.3044818368384433,4.633834843781826,3.589534046527837e-6,0.0015428384100510306
Pseudodiploria171125,NA,79.91659807253704,2.0782828808379175,0.3087848195544854,6.730521545186266,1.6905601308702357e-11,3.4514898271879447e-8
Pseudodiploria171308,NA,26.801276902310807,-1.3807462175220921,0.3365527471100692,-4.102614610572531,4.085073835050224e-5,0.010425236085605518
Pseudodiploria172053,NA,2.0020577391541345,1.8193428191765946,0.507155682055037,3.587345826047864,3.3406113520239954e-4,0.0447231190267278
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.0175359820347174,0.10422577058820888,-9.762806034363173,1.6259302440667534e-22,1.327815933817114e-18
Pseudodiploria173531,thick ascending limb development,215.85855523529546,-0.9981288797790892,0.2086397223636848,-4.783982975395391,1.718552464334103e-6,8.467624727674144e-4
Pseudodiploria173599,NA,522.761945392215,-1.0017312814541628,0.14873546550433875,-6.734986024062575,1.6394569257613345e-11,3.4514898271879447e-8
Pseudodiploria173906,NA,7.129805013714844,-1.3618158849031943,0.32718290519991594,-4.1622464476592835,3.1513197067692644e-5,0.008578417461777066
Pseudodiploria174658,NA,5.205268064388636,-1.3472359581869324,0.3724034656815311,-3.617678357856773,2.9725748020251473e-4,0.042965543576528084
Pseudodiploria174822,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,73.17320775893488,-0.5435192399737961,0.12248887070379245,-4.437294889330447,9.109645638103124e-6,0.0032345183088508334
Pseudodiploria175640,Belongs to the AAA ATPase family,2.732852698521669,2.1086048097125776,0.5195826029882902,4.058266765640918,4.9438275217465e-5,0.012422697678874705
Pseudodiploria176070,nucleoside phosphate binding,21.108431047902926,0.5969236264243714,0.16837014243151774,3.545305704466942,3.921579810105256e-4,0.047008796304302776
Pseudodiploria176147,NA,1345.8661972989623,-0.8825645452894008,0.15729404113798395,-5.61092167830556,2.012518405405117e-8,2.191364207698785e-5
Pseudodiploria177399,NA,3.4595297103008673,1.3748468296097682,0.3846965604888048,3.5738474704916894,3.517738964423117e-4,0.04511273000918003
Pseudodiploria178698,NA,100.98786507338835,-0.9823804945422335,0.24311910432218276,-4.040737552407142,5.328336138000572e-5,0.012989211065964677
Pseudodiploria178819,cysteine-rich protein 1,18.75170763009151,0.6400351707759465,0.16556034788576318,3.8658723477530468,1.1069282726081843e-4,0.02130196539836138
Pseudodiploria181543,procollagen-proline 4-dioxygenase activity,169.15313484609874,0.8065971512706418,0.16183485223219704,4.984075680517533,6.225870952852799e-7,3.631683938319456e-4
Pseudodiploria183007,transducer of ERBB2,79.33327893746481,-0.7314538041321751,0.1930163387985975,-3.7895952678669813,1.5089293442676474e-4,0.026218449978642006
Pseudodiploria183218,NA,23.257080017249812,-0.6237490031344712,0.16327751006015187,-3.8201770893289617,1.333558915601196e-4,0.02438577771992124
Pseudodiploria183667,protein disulfide isomerase activity,89.40288706863701,-0.7552333249478766,0.10509551281800379,-7.186161470620832,6.663822999570131e-13,2.176804421039579e-9
Pseudodiploria184094,NA,23.042978615156613,0.8389475947902124,0.2085757768277586,4.022267626422475,5.764051037598446e-5,0.013644093564796437
Pseudodiploria184239,NA,34.34470794615884,1.098516447631469,0.2779548660713085,3.9521396518730056,7.745551391709716e-5,0.017570568177888168
Pseudodiploria184632,glycoside hydrolase family 63,6.875471397955784,1.5492222637273414,0.3616600216217723,4.2836425679018895,1.838581940518762e-5,0.00566595449707414
Pseudodiploria184779,NA,7.323648364400161,1.2498461063266286,0.29224210121314276,4.276748973328352,1.896424402789167e-5,0.00573598143902879
Pseudodiploria184992,NA,16.23858666109251,1.0416588016943769,0.23588324324100693,4.415993215041952,1.0054723803337933e-5,0.003421329247498301
Pseudodiploria185010,NA,15.431396329967647,0.9069634544644029,0.23753056930752214,3.818302027854741,1.3437335423944845e-4,0.02438577771992124
Pseudodiploria185310,NA,41.5120518831119,0.9693059080238536,0.2468761248984311,3.926284521934399,8.626810356413532e-5,0.01829892124042886
Pseudodiploria186504,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)",11.15816708695204,-1.0013382284255286,0.27811965991074955,-3.600386354373023,3.177446870196085e-4,0.044473892618553765
Pseudodiploria186761,"Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase",13.06400937004914,0.7879958749958915,0.20722195406695218,3.802665979789452,1.4314729890427984e-4,0.025413313402213075
Pseudodiploria186793,7 transmembrane receptor (rhodopsin family),1973.6031916650418,-0.7593440000710764,0.1594208182162028,-4.763142032311437,1.9060158291452632e-6,8.894559010694166e-4
Pseudodiploria186906,NA,141.80094362545762,0.6276438284535519,0.10032881358568406,6.2558681401881,3.953106499714975e-10,5.869644405440425e-7
Pseudodiploria186928,Calreticulin,236.24495142295453,-0.9558215777923657,0.09468665505912402,-10.094575388638809,5.838318980621997e-24,9.535726391049907e-20
Pseudodiploria186945,NA,5.851818449957784,1.4691420752135942,0.4113530318082307,3.571487169440618,3.549599401892694e-4,0.04511273000918003
Pseudodiploria187209,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",42.96291456923826,1.2955600103129403,0.30615004446008137,4.231781225437213,2.3184786866983003e-5,0.006528915929283335
Pseudodiploria187226,Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport,7.595918392831541,-1.9982795687530635,0.3799675688748543,-5.259079280556217,1.4477846501449162e-7,1.0748484859462234e-4
Pseudodiploria187229,NA,281.19112618820634,0.38735007224101053,0.0893051068405702,4.337378745120566,1.4419203418481045e-5,0.004617820577138253
Pseudodiploria187669,NA,2.500353888414887,-2.448014080523606,0.6097787204218347,-4.014594144626941,5.954817190455872e-5,0.01389428988167368
Pseudodiploria187903,NA,28.6087863919242,-0.8667308068018974,0.2343853536684145,-3.6978880857379144,2.1740069294094564e-4,0.03481181880200456
Pseudodiploria188308,NA,44.66491373801638,0.6144466500733767,0.1740322999780155,3.53064718532707,4.1454430089178087e-4,0.048019518201882674
Pseudodiploria188516,Hairy and enhancer of split-related protein helt,112.69919082347282,-0.7600371327300446,0.15082792387359031,-5.03910093841135,4.677237747557297e-7,2.8437830288412263e-4
Pseudodiploria188741,NA,13.54242813934653,-0.8858160904375032,0.2420722882397879,-3.6593039908808,2.5290119542095463e-4,0.03823930681961091
Pseudodiploria189114,Lim homeobox,107.2373472387612,1.169911145048504,0.23199732006607893,5.042778704147456,4.588197690667448e-7,2.8437830288412263e-4
Pseudodiploria189137,NA,155.3121523944291,0.4407912065064951,0.09222303140965961,4.779621747071804,1.756252964688643e-6,8.467624727674144e-4
