name	term	lev	seq	value
"RNA polymerase binding"	GO:0070063	4	Acropora15968	0.478865958422091
"RNA polymerase binding"	GO:0070063	4	Acropora20823	-0.397667762926809
"RNA polymerase binding"	GO:0070063	4	Acropora4564	-2.67615263498957
"RNA polymerase binding"	GO:0070063	4	Acropora10529	0.243387374872975
"RNA polymerase binding"	GO:0070063	4	Acropora3326	-1.78190099200219
"RNA polymerase binding"	GO:0070063	4	Acropora421	0.900724751277695
"RNA polymerase binding"	GO:0070063	4	Acropora8625	-1.16096763176383
"RNA polymerase binding"	GO:0070063	4	Acropora15828	0.0139137453870022
"RNA polymerase binding"	GO:0070063	4	Acropora15841	0.367936374805348
"RNA polymerase binding"	GO:0070063	4	Acropora13664	-0.643654639804105
"RNA polymerase binding"	GO:0070063	4	Acropora2171	0.128499835547215
"RNA polymerase binding"	GO:0070063	4	Acropora3417	-0.112203730296201
"RNA polymerase binding"	GO:0070063	4	Acropora3677	0.761774277488955
"RNA polymerase binding"	GO:0070063	4	Acropora9652	0.165080163868193
"RNA polymerase binding"	GO:0070063	4	Acropora24266	-0.84153556426426
"RNA polymerase binding"	GO:0070063	4	Acropora18828	-0.145858737278993
"RNA polymerase binding"	GO:0070063	4	Acropora637	-0.527528505504847
"RNA polymerase binding"	GO:0070063	4	Acropora37305	0.641872934175821
"RNA polymerase binding"	GO:0070063	4	Acropora5659	0.64531298831528
"RNA polymerase binding"	GO:0070063	4	Acropora3755	1.84814817216075
"RNA polymerase binding"	GO:0070063	4	Acropora5815	-0.373598058814176
"RNA polymerase binding"	GO:0070063	4	Acropora4261	4.07070918848266
"RNA polymerase binding"	GO:0070063	4	Acropora3189	0.0556485486316648
"RNA polymerase binding"	GO:0070063	4	Acropora18504	-0.0150854516658121
"RNA polymerase binding"	GO:0070063	4	Acropora9642	-0.97346351719467
"RNA polymerase binding"	GO:0070063	4	Acropora2006	-0.130099672959005
"RNA polymerase binding"	GO:0070063	4	Acropora2702	-3.16678879405433
"RNA polymerase binding"	GO:0070063	4	Acropora27169	-0.468335277685753
"RNA polymerase binding"	GO:0070063	4	Acropora10774	1.49576558565769
"RNA polymerase binding"	GO:0070063	4	Acropora15358	-0.2848321969187
"RNA polymerase binding"	GO:0070063	4	Acropora12036	-0.426401993430084
"RNA polymerase binding"	GO:0070063	4	Acropora9417	-0.788470600559493
"RNA polymerase binding"	GO:0070063	4	Acropora36226	-0.733030380786936
"RNA polymerase binding"	GO:0070063	4	Acropora892	-1.14689088445135
"RNA polymerase binding"	GO:0070063	4	Acropora2798	0.059097715652198
"RNA polymerase binding"	GO:0070063	4	Acropora5598	0.0525985841687488
"RNA polymerase binding"	GO:0070063	4	Acropora4940	-0.375401017828266
"RNA polymerase binding"	GO:0070063	4	Acropora18701	1.84390581466966
"RNA polymerase binding"	GO:0070063	4	Acropora17296	-0.109934257701752
"RNA polymerase binding"	GO:0070063	4	Acropora3516	2.3716374696287
"RNA polymerase binding"	GO:0070063	4	Acropora7128	-0.173937658576077
"RNA polymerase binding"	GO:0070063	4	Acropora6859	0.041391248555432
"RNA polymerase binding"	GO:0070063	4	Acropora1413	0.0205916695517603
