gene,KOG
Acropora_000012,Snurportin1
Acropora_000023,RNA polymerase II CTD heptapeptide repeat kinase activity
Acropora_000068,NA
Acropora_000076,NA
Acropora_000082,NA
Acropora_000096,NA
Acropora_000110,NA
Acropora_000118,NA
Acropora_000125,NA
Acropora_000132,NA
Acropora_000135,NA
Acropora_000138,serotonin receptor activity
Acropora_000157,NA
Acropora_000190,NA
Acropora_000192,NA
Acropora_000193,NA
Acropora_000198,NA
Acropora_000199,NA
Acropora_000203,isocitrate dehydrogenase NAD subunit
Acropora_000205,NA
Acropora_000226,NA
Acropora_000231,NA
Acropora_000240,nucleosome assembly
Acropora_000248,Thioredoxin-like domain
Acropora_000252,regulation of cell shape
Acropora_000254,NA
Acropora_000255,NA
Acropora_000259,tubulin polyglutamylase complex subunit
Acropora_000268,NA
Acropora_000277,NA
Acropora_000283,NA
Acropora_000302,Domain of unknown function (DUF4558)
Acropora_000308,Conserved mid region of cactin
Acropora_000335,NA
Acropora_000341,Exocyst complex component 5
Acropora_000342,Chloride channel protein
Acropora_000347,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"
Acropora_000370,MAP kinase activity
Acropora_000374,asparagine-tRNA ligase activity
Acropora_000375,DNA polymerase
Acropora_000379,DDB1 and CUL4 associated factor 12
Acropora_000392,factor 13
Acropora_000396,heparin binding
Acropora_000398,metal ion binding
Acropora_000420,post-chaperonin tubulin folding pathway
Acropora_000421,cyclin A-associated protein in the
Acropora_000422,Insulin gene enhancer protein
Acropora_000443,Transposase IS4
Acropora_000496,NA
Acropora_000500,phosphatidylinositol-4-phosphate binding
Acropora_000508,aryl hydrocarbon receptor binding
Acropora_000513,DBH-like monooxygenase protein 1
Acropora_000516,"intramolecular oxidoreductase activity, transposing S-S bonds"
Acropora_000534,protein tyrosine phosphatase activity
Acropora_000536,"Sushi, nidogen and EGF-like"
Acropora_000541,Coiled-coil domain containing 115
Acropora_000566,NA
Acropora_000601,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9
Acropora_000615,maintenance of mitotic sister chromatid cohesion
Acropora_000627,NA
Acropora_000650,Galactosyltransferase
Acropora_000664,ligand-gated sodium channel activity
Acropora_000686,NA
Acropora_000689,RNA lariat debranching enzyme activity
Acropora_000692,"oxidoreductase activity, acting on NAD(P)H"
Acropora_000716,phosphorylase kinase regulator activity
Acropora_000717,NA
Acropora_000727,DNA repair protein complementing XP-A cells
Acropora_000728,NA
Acropora_000732,NA
Acropora_000739,peptidyl-prolyl cis-trans isomerase activity
Acropora_000745,negative regulation of smooth muscle cell differentiation
Acropora_000756,NA
Acropora_000765,NA
Acropora_000781,voltage-gated sodium channel activity
Acropora_000784,"Catalytic subunit of the molybdopterin synthase complex, a complex that catalyzes the conversion of precursor Z into molybdopterin. Acts by mediating the incorporation of 2 sulfur atoms from thiocarboxylated MOCS2A into precursor Z to generate a dithiolene group"
Acropora_000800,glycosyl transferase
Acropora_000804,NA
