gene,annot,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Contrast
Pseudodiploria167074,NA,28.98996436119782,-0.9553835750148463,0.21718808204430098,-4.398876614325328,1.0881266561979542e-5,0.01747135727433479,Treated vs Untreated
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.0017701128499943,0.12250554398045892,-8.177345124966658,2.9016602460818064e-16,5.124912326629687e-12,Treated vs Untreated
Pseudodiploria178481,NA,2.012636412949095,-3.5569701213241025,0.8572561357206469,-4.149250116867298,3.335661902860653e-5,0.03685545479282214,Treated vs Untreated
Pseudodiploria179906,zinc ion binding,17.367238928499365,1.1243575510473915,0.27480735033537557,4.091439147006886,4.2870444577861126e-5,0.04196855188795277,Treated vs Untreated
Pseudodiploria181589,zinc finger,14.951442463047114,0.9988033917744965,0.2448394696120372,4.079421481173604,4.5147915630795075e-5,0.04196855188795277,Treated vs Untreated
Pseudodiploria183667,protein disulfide isomerase activity,89.40288706863701,-0.5683719914077604,0.12673643958526196,-4.484676966369945,7.30244790425023e-6,0.012897583488486757,Treated vs Untreated
Pseudodiploria186543,Mib_herc2,19.770331720968343,-0.9069334590576882,0.2155740384853614,-4.207062526776728,2.587115777924143e-5,0.03514895297668939,Treated vs Untreated
Pseudodiploria186906,NA,141.80094362545762,0.5163002677628535,0.12154001605163282,4.247985844789736,2.1570101992923935e-5,0.03174759511658521,Treated vs Untreated
Pseudodiploria186928,Calreticulin,236.24495142295453,-0.6612371645084911,0.11222351129109931,-5.892144675399542,3.8121518292925674e-9,1.3466045121793066e-5,Treated vs Untreated
Pseudodiploria189075,NA,4.371316994594852,-2.9701126523222565,0.6513857079231288,-4.559683481223639,5.123077863853558e-6,0.01135436982505131,Treated vs Untreated
Pseudodiploria192509,positive regulation of protein folding,53.645487179473186,-1.0928887882879155,0.15612273627663292,-7.000189814451065,2.5561595867300722e-12,2.257344531041327e-8,Treated vs Untreated
Pseudodiploria193272,NA,1.56025342305242,-3.211694734845973,0.7740815344993612,-4.1490393346266075,3.338734439390523e-5,0.03685545479282214,Treated vs Untreated
Pseudodiploria194656,Eukaryotic peptide chain release factor subunit,14.511032242694029,1.1681154453345395,0.25866324062457674,4.515970040868465,6.3027575362445945e-6,0.012368811511683559,Treated vs Untreated
Pseudodiploria195930,protein refolding,235.013830091385,-0.5360148055737632,0.10098575302252484,-5.307826000507273,1.109404688243127e-7,3.2657176006250176e-4,Treated vs Untreated
Pseudodiploria195980,NA,25.207985185723015,-2.238830859163071,0.5548206950449457,-4.035233146776735,5.4548104711741306e-5,0.04587755359137023,Treated vs Untreated
Pseudodiploria196007,NA,11.087177082923011,-1.8737943304294296,0.31410264527329723,-5.965547755253898,2.438147239061177e-9,1.0765639134074627e-5,Treated vs Untreated
Pseudodiploria197331,NA,29.598022401184316,1.1254073379454788,0.2468610301988667,4.558869972465364,5.14295994793401e-6,0.01135436982505131,Treated vs Untreated
Pseudodiploria201046,sphingolipid delta-4 desaturase activity,33.14388072014423,0.7298951779215073,0.17876844001118838,4.082908470174188,4.44755434881197e-5,0.04196855188795277,Treated vs Untreated
Pseudodiploria203156,Domain of unknown function (DUF4062),198.4037247997928,-0.824722474818128,0.12365654565825737,-6.669460726303702,2.5674507307681766e-11,1.5115438268942512e-7,Treated vs Untreated
Pseudodiploria203953,NA,78.1401673242674,0.7503656421954593,0.18508284278121348,4.054215025659979,5.030293065338108e-5,0.04442251806000083,Treated vs Untreated
Pseudodiploria204184,establishment of endoplasmic reticulum localization to postsynapse,58.49081786562033,-0.5515197472245442,0.1321518250080926,-4.173379725862815,3.001141241644798e-5,0.03685545479282214,Treated vs Untreated
Pseudodiploria165214,NA,125.30065161370533,0.7872398649261668,0.19963686616291232,3.9433591603453895,8.03481854452887e-5,0.01773414747132298,Treated vs Initial
Pseudodiploria166380,NA,2.6132574145183955,-2.4193468826993376,0.6570574082516325,-3.6820936075235653,2.3132643719886935e-4,0.03668208445406926,Treated vs Initial
Pseudodiploria167074,NA,28.98996436119782,-0.656899087789181,0.18418775799830642,-3.56646443242564,3.618298923163279e-4,0.04511273000918003,Treated vs Initial
Pseudodiploria167956,NA,22.992667725983715,0.6446110330049718,0.172282475583296,3.7415937449384513,1.8285694280193612e-4,0.030167701482666894,Treated vs Initial
Pseudodiploria168212,NA,1.77711068849387,-3.0428690522595327,0.7791348400955178,-3.9054460096874797,9.405175601019868e-5,0.019444902922969305,Treated vs Initial
Pseudodiploria168214,NA,7.041949274090074,1.2253127195108569,0.27803684671582046,4.407015595178435,1.0480464489226719e-5,0.0034934168673987753,Treated vs Initial
Pseudodiploria168526,NA,46.467567803760254,-1.0722173718667087,0.1618710035816068,-6.623900193008647,3.4984302436999137e-11,6.3488734633723e-8,Treated vs Initial
Pseudodiploria168627,-,208.39405518866533,-1.0013906702569535,0.1476928061031349,-6.780226448928565,1.1998766268469273e-11,3.2662641577151436e-8,Treated vs Initial
Pseudodiploria168859,NA,76.87141319968286,-0.5681945034393356,0.12847128794116464,-4.422735325106641,9.745910478244482e-6,0.003386807571088662,Treated vs Initial
Pseudodiploria169280,NA,8.071881701627063,-1.1438661627024256,0.27604591834868925,-4.143753218830584,3.4166741545609834e-5,0.009148285076466318,Treated vs Initial
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,18.00992505305566,-1.2437407319610914,0.348512030199916,-3.5687167850350754,3.5873395625428373e-4,0.04511273000918003,Treated vs Initial
Pseudodiploria171009,NA,14.260882534641254,1.4109185448406714,0.3044818368384433,4.633834843781826,3.589534046527837e-6,0.0015428384100510306,Treated vs Initial
Pseudodiploria171125,NA,79.91659807253704,2.0782828808379175,0.3087848195544854,6.730521545186266,1.6905601308702357e-11,3.4514898271879447e-8,Treated vs Initial
Pseudodiploria171308,NA,26.801276902310807,-1.3807462175220921,0.3365527471100692,-4.102614610572531,4.085073835050224e-5,0.010425236085605518,Treated vs Initial
Pseudodiploria172053,NA,2.0020577391541345,1.8193428191765946,0.507155682055037,3.587345826047864,3.3406113520239954e-4,0.0447231190267278,Treated vs Initial
Pseudodiploria172893,Belongs to the heat shock protein 70 family,155.42194358954995,-1.0175359820347174,0.10422577058820888,-9.762806034363173,1.6259302440667534e-22,1.327815933817114e-18,Treated vs Initial
Pseudodiploria173531,thick ascending limb development,215.85855523529546,-0.9981288797790892,0.2086397223636848,-4.783982975395391,1.718552464334103e-6,8.467624727674144e-4,Treated vs Initial
Pseudodiploria173599,NA,522.761945392215,-1.0017312814541628,0.14873546550433875,-6.734986024062575,1.6394569257613345e-11,3.4514898271879447e-8,Treated vs Initial
Pseudodiploria173906,NA,7.129805013714844,-1.3618158849031943,0.32718290519991594,-4.1622464476592835,3.1513197067692644e-5,0.008578417461777066,Treated vs Initial
Pseudodiploria174658,NA,5.205268064388636,-1.3472359581869324,0.3724034656815311,-3.617678357856773,2.9725748020251473e-4,0.042965543576528084,Treated vs Initial
Pseudodiploria174822,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,73.17320775893488,-0.5435192399737961,0.12248887070379245,-4.437294889330447,9.109645638103124e-6,0.0032345183088508334,Treated vs Initial
Pseudodiploria175640,Belongs to the AAA ATPase family,2.732852698521669,2.1086048097125776,0.5195826029882902,4.058266765640918,4.9438275217465e-5,0.012422697678874705,Treated vs Initial
Pseudodiploria176070,nucleoside phosphate binding,21.108431047902926,0.5969236264243714,0.16837014243151774,3.545305704466942,3.921579810105256e-4,0.047008796304302776,Treated vs Initial
