gene,KOG
Acropora_000038,iron ion binding
Acropora_000053,NA
Acropora_000078,NA
Acropora_000083,major facilitator superfamily
Acropora_000086,leucine-rich repeat serine threonine-protein kinase
Acropora_000106,radial pattern formation
Acropora_000109,NA
Acropora_000149,NA
Acropora_000185,otolith morphogenesis
Acropora_000211,NA
Acropora_000213,Hematopoietic SH2 domain containing
Acropora_000228,serine-type endopeptidase inhibitor activity
Acropora_000246,miRNA binding
Acropora_000285,NA
Acropora_000293,Thrombospondin type 1 repeats
Acropora_000304,NA
Acropora_000305,maintenance of animal organ identity
Acropora_000344,NA
Acropora_000385,microtubule depolymerization
Acropora_000388,"phenylalanyl-tRNA synthetase 2, mitochondrial"
Acropora_000390,regulator of nonsense transcripts
Acropora_000471,Kelch-like protein 18
Acropora_000477,NA
Acropora_000506,NA
Acropora_000512,family member
Acropora_000518,heteroduplex DNA loop binding
Acropora_000521,positive regulation of cardioblast proliferation
Acropora_000523,NA
Acropora_000524,NA
Acropora_000543,elongation factor Tu
Acropora_000575,calcium ion-regulated exocytosis of neurotransmitter
Acropora_000590,NA
Acropora_000596,protein serine/threonine kinase activity
Acropora_000659,Transposase IS4
Acropora_000682,"DNA-templated transcription, termination"
Acropora_000688,protein import into mitochondrial matrix
Acropora_000695,vacuolar proton-transporting V-type ATPase complex assembly
Acropora_000740,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen"
Acropora_000752,NA
Acropora_000777,microtubule motor activity
Acropora_000795,protein N-linked glycosylation via arginine
Acropora_000803,protein side chain deglutamylation
Acropora_000807,NA
Acropora_000838,NA
Acropora_000861,NA
Acropora_000870,NA
Acropora_000903,NA
Acropora_000904,-
Acropora_000961,NA
Acropora_000983,Coiled-coil domain containing 124
Acropora_001013,NA
Acropora_001042,NA
Acropora_001123,assembly of large subunit precursor of preribosome
Acropora_001135,cilium assembly
Acropora_001185,Neurotransmitter-gated ion-channel ligand binding domain
Acropora_001188,Coiled-coil domain-containing protein 87
Acropora_001227,FK506 binding
Acropora_001257,"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
Acropora_001306,cellular response to hydroperoxide
Acropora_001307,lysosomal lumen pH elevation
Acropora_001327,NA
Acropora_001332,A disintegrin and metalloproteinase with thrombospondin motifs
Acropora_001335,regulation of fibroblast apoptotic process
Acropora_001362,NA
Acropora_001368,NA
Acropora_001370,NA
Acropora_001381,WD repeat-containing protein 55
Acropora_001461,NA
Acropora_001475,NA
Acropora_001515,alpha-tubulin acetylation
Acropora_001527,NA
Acropora_001533,NA
Acropora_001540,NA
Acropora_001546,NA
Acropora_001633,regulation of microtubule polymerization or depolymerization
Acropora_001676,Belongs to the CRISP family
Acropora_001678,NA
Acropora_001699,The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
Acropora_001712,NA
Acropora_001718,repair protein
Acropora_001746,NA
Acropora_001764,Poly (ADP-ribose) polymerase
Acropora_001768,NA
Acropora_001778,NA
Acropora_001796,NA
Acropora_001801,-
Acropora_001828,NA
Acropora_001847,NA
Acropora_001871,positive regulation of calcium-dependent cell-cell adhesion
Acropora_001881,NA
Acropora_001906,NA
Acropora_001918,NA
Acropora_001931,Belongs to the class-I aminoacyl-tRNA synthetase family
Acropora_001933,phosphorylation of RNA polymerase II C-terminal domain
Acropora_001945,lysosomal lumen pH elevation
Acropora_001957,NA
Acropora_001987,NA
Acropora_002008,pectin acetylesterase activity
Acropora_002018,Nuclear pore complex protein
Acropora_002019,Wu fj29h11
Acropora_002055,Peptidyl-tRNA hydrolase
Acropora_002091,Mitoguardin
Acropora_002128,NA
Acropora_002150,medium-chain-acyl-CoA dehydrogenase activity
Acropora_002169,NA
Acropora_002170,NA
Acropora_002196,NA
Acropora_002212,positive regulation of interleukin-6-mediated signaling pathway
Acropora_002234,NA
Acropora_002243,protein processing involved in protein targeting to mitochondrion
Acropora_002249,Neural proliferation differentiation control-1 protein (NPDC1)
Acropora_002257,Rap Ran-GAP domain-like
Acropora_002263,regulation of protein monoubiquitination
Acropora_002281,NA
Acropora_002318,Guanine nucleotide binding protein-like 1
Acropora_002322,NA
Acropora_002345,tRNA processing
Acropora_002353,extracellularly glycine-gated chloride channel activity
Acropora_002355,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway"
Acropora_002356,NA
Acropora_002357,NA
Acropora_002367,NA
Acropora_002437,positive regulation of glucagon secretion
Acropora_002440,NA
Acropora_002451,Tuberous sclerosis
Acropora_002457,"Tubulin tyrosine ligase-like family, member 11"
Acropora_002476,copper ion binding
Acropora_002500,coiled-coil domain containing 18
Acropora_002510,Ankyrin repeat
Acropora_002516,Belongs to the STXBP unc-18 SEC1 family
Acropora_002529,NA
Acropora_002535,manganese ion binding
Acropora_002544,deleted 1 base in 1 codon
Acropora_002553,NA
Acropora_002585,NA
Acropora_002613,NA
Acropora_002626,"Acts as a sulfur carrier required for 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of cytosolic tRNA(Lys), tRNA(Glu) and tRNA(Gln). Serves as sulfur donor in tRNA 2- thiolation reaction by being thiocarboxylated (-COSH) at its C- terminus by MOCS3. The sulfur is then transferred to tRNA to form 2-thiolation of mcm(5)S(2)U. Also acts as a ubiquitin-like protein (UBL) that is covalently conjugated via an isopeptide bond to lysine residues of target proteins. The thiocarboxylated form serves as substrate for conjugation and oxidative stress specifically induces the formation of UBL-protein conjugates"
Acropora_002690,NA
Acropora_002724,NA
Acropora_002774,TILa domain
Acropora_002803,DNA-binding transcription factor activity
Acropora_002812,Belongs to the mitochondrial carrier (TC 2.A.29) family
Acropora_002820,Belongs to the yippee family
Acropora_002865,acyl-CoA oxidase activity
Acropora_002900,NA
Acropora_002960,NA
Acropora_002964,Histidine triad
Acropora_002981,7 transmembrane receptor (rhodopsin family)
Acropora_003085,galactosyltransferase activity
Acropora_003088,NA
Acropora_003089,NA
Acropora_003219,Iron/zinc purple acid phosphatase-like protein C
Acropora_003225,Golgi vesicle prefusion complex stabilization
Acropora_003234,"Involved in mRNA export coupled transcription activation by association with both the TREX-2 and the SAGA complexes. The transcription regulatory histone acetylation (HAT) complex SAGA is a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates to a subcomplex that specifically deubiquitinates histones. The SAGA complex is recruited to specific gene promoters by activators, where it is required for transcription. The TREX-2 complex functions in docking export-competent ribonucleoprotein particles (mRNPs) to the nuclear entrance of the nuclear pore complex (nuclear basket). TREX-2 participates in mRNA export and accurate chromatin positioning in the nucleus by tethering genes to the nuclear periphery"
Acropora_003254,zinc ion binding
Acropora_003280,C-terminal region of aryl-sulfatase
Acropora_003293,NA
