name	term	lev	seq	value
"semaphorin receptor binding"	GO:0030215	2	Acropora30689	-0.378670063
"semaphorin receptor binding"	GO:0030215	2	Acropora2225	3.770719799
"semaphorin receptor binding"	GO:0030215	2	Acropora10130	-0.498047738
"semaphorin receptor binding"	GO:0030215	2	Acropora9956	0.044162614
"semaphorin receptor binding"	GO:0030215	2	Acropora25644	0.45906298
"semaphorin receptor binding"	GO:0030215	2	Acropora6423	0.064461978
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora6740	0.269992116
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora3225	0.506125615
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora866	-0.669082526
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora8447	-0.051971962
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora15206	0.322978434
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora6264	0.211411249
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora23911	-2.595976402
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora7033	-0.183264088
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora1521	0.516721753
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora2226	-0.085408659
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora18504	2.194383903
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora25204	-0.260447754
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora1145	0.224768559
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora5814	1.832690116
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora2091	0.21690529
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora9203	-0.336762631
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora6745	0.192923086
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora6451	2.194383903
"protein phosphorylated amino acid binding"	GO:0045309	4	Acropora7483	1.721517315
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora13257	-0.02736826
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora10938	-0.028195176
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora20387	1.511050938
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora22184	-0.34710984
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora13427	0.675380904
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora8096	0.32501025099999997
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora10114	0.48486271
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora13156	0.019727097
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora1524	0.120105759
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora10001	0.049943472
"ligand-gated cation channel activity"	GO:0005217;GO:0099094	2	Acropora13308	0.022956053
"serine-type endopeptidase activity"	GO:0004252	5	Acropora3087	-0.360811554
"serine-type endopeptidase activity"	GO:0004252	5	Acropora3414	0.979616233
"serine-type endopeptidase activity"	GO:0004252	5	Acropora28026	0.252970245
"serine-type endopeptidase activity"	GO:0004252	5	Acropora8888	0.476460403
"serine-type endopeptidase activity"	GO:0004252	5	Acropora2719	-0.283658652
"serine-type endopeptidase activity"	GO:0004252	5	Acropora1104	1.60633188
"serine-type endopeptidase activity"	GO:0004252	5	Acropora29875	-0.619200123
"serine-type endopeptidase activity"	GO:0004252	5	Acropora9106	0.42269711
"serine-type endopeptidase activity"	GO:0004252	5	Acropora2605	-0.33721874
"serine-type endopeptidase activity"	GO:0004252	5	Acropora6712	0.633120034
"serine-type endopeptidase activity"	GO:0004252	5	Acropora30194	0.025048538
"serine-type endopeptidase activity"	GO:0004252	5	Acropora11384	-0.048794969
"serine-type endopeptidase activity"	GO:0004252	5	Acropora243	-0.541911957
"serine-type endopeptidase activity"	GO:0004252	5	Acropora24314	0.004040544
"serine-type endopeptidase activity"	GO:0004252	5	Acropora29351	0.192846258
"serine-type endopeptidase activity"	GO:0004252	5	Acropora15665	1.019019774
"serine-type endopeptidase activity"	GO:0004252	5	Acropora4854	-1.754917397
"serine-type endopeptidase activity"	GO:0004252	5	Acropora11492	0.18590968
"serine-type endopeptidase activity"	GO:0004252	5	Acropora9946	-0.05518469
"serine-type endopeptidase activity"	GO:0004252	5	Acropora22482	0.664994963
"serine-type endopeptidase activity"	GO:0004252	5	Acropora22998	-0.988538699
"serine-type endopeptidase activity"	GO:0004252	5	Acropora6091	-0.675940684
"serine-type endopeptidase activity"	GO:0004252	5	Acropora26306	0.212611917
"serine-type endopeptidase activity"	GO:0004252	5	Acropora1406	-0.144560128
"nucleotidyltransferase activity"	GO:0016779	4	Acropora1888	-3.628560918
"nucleotidyltransferase activity"	GO:0016779	4	Acropora3053	-0.340037582
"nucleotidyltransferase activity"	GO:0016779	4	Acropora7690	-1.160743636
"nucleotidyltransferase activity"	GO:0016779	4	Acropora20367	0.619200123
"nucleotidyltransferase activity"	GO:0016779	4	Acropora27733	0.094484843
"nucleotidyltransferase activity"	GO:0016779	4	Acropora8447	-0.051971962
"nucleotidyltransferase activity"	GO:0016779	4	Acropora11158	0.767464057
"nucleotidyltransferase activity"	GO:0016779	4	Acropora17536	-1.138834654
"nucleotidyltransferase activity"	GO:0016779	4	Acropora9592	-0.222307371
"nucleotidyltransferase activity"	GO:0016779	4	Acropora9168	-2.205865097
"nucleotidyltransferase activity"	GO:0016779	4	Acropora17711	-0.706694764
"nucleotidyltransferase activity"	GO:0016779	4	Acropora28619	-1.531989244
"nucleotidyltransferase activity"	GO:0016779	4	Acropora13058	-0.177314269
