name	term	lev	seq	value
"Golgi lumen"	GO:0005796	3	Acropora321	-5.62304963684076
"Golgi lumen"	GO:0005796	3	Acropora10184	2.33208655607082
"Golgi lumen"	GO:0005796	3	Acropora22105	1.26144056538563
"Golgi lumen"	GO:0005796	3	Acropora5868	1.86759418627657
"Golgi lumen"	GO:0005796	3	Acropora81016	0.198215483467796
"Golgi lumen"	GO:0005796	3	Acropora27094	0.267291818921328
"Golgi lumen"	GO:0005796	3	Acropora770	0.837195061071145
"Golgi lumen"	GO:0005796	3	Acropora90118	-4.45219687576989
"Golgi lumen"	GO:0005796	3	Acropora44981	-0.0684434948568528
"Golgi lumen"	GO:0005796	3	Acropora30194	0.106398580411628
"Golgi lumen"	GO:0005796	3	Acropora21564	-2.23700755272686
"Golgi lumen"	GO:0005796	3	Acropora17712	-5.37680279764073
"Golgi lumen"	GO:0005796	3	Acropora6765	1.18137918018224
"Golgi lumen"	GO:0005796	3	Acropora27196	0.156498031419708
"Golgi lumen"	GO:0005796	3	Acropora8799	0.0977709755033742
"Golgi lumen"	GO:0005796	3	Acropora56523	0.0873952342887438
"Golgi lumen"	GO:0005796	3	Acropora10182	-1.15162756703061
"Golgi lumen"	GO:0005796	3	Acropora10902	0.372655120273936
"Golgi lumen"	GO:0005796	3	Acropora38389	-0.396835985813956
"Golgi lumen"	GO:0005796	3	Acropora6354	0.074513322135684
"Golgi lumen"	GO:0005796	3	Acropora25068	-0.964574944971208
"Golgi lumen"	GO:0005796	3	Acropora75636	0.963934807850022
"Golgi lumen"	GO:0005796	3	Acropora14407	0.696437139893669
"Golgi lumen"	GO:0005796	3	Acropora10639	-2.11019157978811
"Golgi lumen"	GO:0005796	3	Acropora15905	0.0743285004732944
"Golgi lumen"	GO:0005796	3	Acropora5005	-0.0420510682761504
"Golgi lumen"	GO:0005796	3	Acropora6271	-0.351728510453658
"Golgi lumen"	GO:0005796	3	Acropora54907	2.07983042728038
"Golgi lumen"	GO:0005796	3	Acropora11114	-1.08631648552114
"Golgi lumen"	GO:0005796	3	Acropora11213	0.944866720537493
"Golgi lumen"	GO:0005796	3	Acropora35892	2.11624100018082
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora761	0.20821257355816
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora863	-12.5135552652562
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora7573	0.126100200805734
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora2630	-0.137294398200383
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora1573	-0.161699841911701
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora23287	-0.873882834136227
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora4134	-0.0738594201589781
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora7708	-4.84454442256096
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora26629	0.0908035206815493
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora16437	0.791223779101453
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora4740	-17.8845423525413
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora2178	-2.55646129118812
"COPI-coated vesicle membrane"	GO:0030126;GO:0030663	2	Acropora3404	-3.18684837355241
"MHC class I peptide loading complex"	GO:0042824	4	Acropora40590	0.14404778023506
"MHC class I peptide loading complex"	GO:0042824	4	Acropora867	-0.760519768949075
"MHC class I peptide loading complex"	GO:0042824	4	Acropora6599	-0.0637520126758865
"MHC class I peptide loading complex"	GO:0042824	4	Acropora224	-1.87356254912687
"MHC class I peptide loading complex"	GO:0042824	4	Acropora1655	0.0385907363376478
"spectrin"	GO:0008091	3	Acropora25265	1.3877068067246
"spectrin"	GO:0008091	3	Acropora72756	0.0680240108028691
"spectrin"	GO:0008091	3	Acropora31150	0.665346789561182
"spectrin"	GO:0008091	3	Acropora50834	0.127326088930942
"spectrin"	GO:0008091	3	Acropora2698	5.55324957643313
"spectrin"	GO:0008091	3	Acropora45799	0.193261266468922
"spectrin"	GO:0008091	3	Acropora1232	4.40329810570549
"spectrin"	GO:0008091	3	Acropora26730	3.81503444309743
"spectrin"	GO:0008091	3	Acropora53007	5.16999699008408
"spectrin"	GO:0008091	3	Acropora51603	0.180801620358979
"spectrin"	GO:0008091	3	Acropora924	6.74989288096031
